country_name,iso3,year,boundary_name,wsdi_days,n_valid_cells,n_total_cells,grid_coverage_rate,wsdi_source_dataset,wsdi_source_version,base_period,aggregation,n_valid_years_1951_2018,time_coverage_rate,passes_time_coverage,wsdi_source_status,wsdi_missing_reason
Bangladesh,BGD,2000,Bangladesh,10.496526336669922,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2001,Bangladesh,10.493428039550782,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2002,Bangladesh,10.633681488037109,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2003,Bangladesh,5.479648685455322,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2004,Bangladesh,9.777034759521484,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2005,Bangladesh,12.59833583831787,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2006,Bangladesh,27.068470764160157,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2007,Bangladesh,20.39101505279541,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2008,Bangladesh,16.402806282043457,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2009,Bangladesh,39.270867919921876,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2010,Bangladesh,20.858654403686522,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2011,Bangladesh,25.10926513671875,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2012,Bangladesh,14.362358665466308,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2013,Bangladesh,31.288972473144533,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2014,Bangladesh,27.833589935302733,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2015,Bangladesh,27.707755279541015,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2016,Bangladesh,34.93363304138184,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2017,Bangladesh,37.22387199401855,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Bangladesh,BGD,2018,Bangladesh,22.15741958618164,5,5,1.0,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,1995,Brazil,15.558872312704722,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,1996,Brazil,7.449992216775815,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,1997,Brazil,19.80915781656901,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,1998,Brazil,38.16166542967161,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
Brazil,BRA,1999,Brazil,12.672879394491513,300,301,0.9966777408637874,HadEX3,3.0.4,1961-1990,grid_center_arithmetic_mean,68,1.0,True,available,
