country_name,iso3,year,bond_spreads,readiness100,debt_gdp,CurrentGDP,ConstantGDP,interest_revenue,wsdi_days,wsdi_merge,country_id,duplicate_key,spread_lag,b_pre,ln_constantgdp,ln_constantgdp_lag,T_it,T_lead,outcome_year,b_outcome_common,A_outcome_common,spread_missing_count,eligible_spread,sample_spread,tax_missing_count,eligible_tax,sample_tax,mA_hat_spread_ratio,mA_hat,spread_saving_component,TA_hat,theta_hat_A,theta_constructible,sample_theta_support,mA_hat_se,TA_hat_se
New Zealand,NZL,2021,.0040200799703598,.6926780700683594,.4753400039672852,249.72,269.00601,.0195813286304474,,Master only (1),NZL,0,.0002057399973273,.4318000030517578,5.594733728656523,5.541087066179299,1.055111725719925,1.026159219466286,2022,-.0064300155639648,-.0011088562011718,1,0,0,1,0,0,,,,,,0,0,,
New Zealand,NZL,2022,.0069107502698898,.6901536560058594,.4689099884033203,245.16499,276.043,.0195444059371948,,Master only (1),NZL,0,.0040200799703598,.4753400039672852,5.620556648030202,5.594733728656523,1.026159219466286,1.021811805080098,2023,.0040399932861328,-.0025244140624999,1,0,0,1,0,0,,,,,,0,0,,
New Zealand,NZL,2023,.0070050799846649,.6896719360351562,.4729499816894531,253.64999,282.064,.0180957162380219,,Master only (1),NZL,0,.0069107502698898,.4689099884033203,5.642133979097928,5.620556648030202,1.021811805080098,,,,-.0004817199707032,1,0,0,2,0,0,,,,,,0,0,,
Pakistan,PAK,1995,,.3412777709960937,.5232899856567382,98.917,13013.947,.3136787796020508,.0901076030731201,Matched (3),PAK,0,,,9.473776927920163,,,1.065991024353229,1996,.002050018310547,,3,0,0,1,0,0,,,,,,0,0,,
Pakistan,PAK,1996,,.341279296875,.5253400039672852,103.296,13872.751,.3535136032104492,.0360734078017148,Matched (3),PAK,0,,.5232899856567382,9.537681833697064,9.473776927920163,1.065991024353229,1.017026830855255,1997,.0024100112915039,1.52587890628e-06,2,0,0,0,1,1,,,,-.029162286429168,,0,0,,.0229740180353137
Pakistan,PAK,1997,,.3361233520507813,.5277500152587891,101.848,14108.96,.4027580642700195,.0231399702483957,Matched (3),PAK,0,,.5253400039672852,9.554565332770695,9.537681833697064,1.017026830855255,1.034939219903686,1998,.0104100036621094,-.0051559448242188,2,0,0,0,1,1,,,,-.0305784858687974,,0,0,,.023064672526356
Pakistan,PAK,1998,,.3309781265258789,.5381600189208985,101.381,14601.916,.463919677734375,.2057410349990383,Matched (3),PAK,0,,.5277500152587891,9.588908033032924,9.554565332770695,1.034939219903686,1.041821285493222,1999,.069209976196289,-.0051452255249024,2,0,0,0,1,1,,,,-.0105838383120683,,0,0,,.0236099465757229
Pakistan,PAK,1999,,.3316862106323242,.6073699951171875,96.008003,15212.587,.4365102767944336,.1437032377358639,Matched (3),PAK,0,,.5381600189208985,9.629878450611425,9.588908033032924,1.041821285493222,1.039078838972841,2000,.0093600082397461,.0007080841064454,2,0,0,0,1,1,,,,-.0173769196841122,,0,0,,.0229872381289898
Pakistan,PAK,2000,,.3325261306762695,.6167300033569336,99.420998,15807.077,.4488122177124023,.1657270853447192,Matched (3),PAK,0,,.6073699951171875,9.668213039515672,9.629878450611425,1.039078838972841,1.036378459089879,2001,.0347500228881835,.0008399200439453,2,0,0,0,1,1,,,,-.0149653287583774,,0,0,,.0231584566287755
Pakistan,PAK,2001,,.3294136428833008,.6514800262451171,96.783997,16382.114,.395082893371582,.2692406619678844,Matched (3),PAK,0,,.6167300033569336,9.703945424646054,9.668213039515672,1.036378459089879,1.026232460432118,2002,-.0461700439453124,-.0031124877929687,2,0,0,0,1,1,,,,-.0036306879404663,,0,0,,.0246746785184091
