country_name,iso3,year,capacity,growth,inflation_cpi,debt_gdp,reserves,tt,interest_revenue,wsdi_days,adapt_capacity,country_id,b_pre,sample_spread,sample_tax,mA_hat,spread_saving_component,TA_hat,theta_hat_A,sample_theta_support,b_pre_mA_hat,theta_recomputed_b_pre,theta_reconstruction_diff,b_pre_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,sample_debt_ns,sample_ready_ns,sample_criterion_theta,sample_criterion_debt,sample_criterion_ma,sample_criterion_ta,sample_criterion_bma,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Romania,ROU,2012,.5076479911804199,.0190400004386902,.0333899998664856,.3616699981689453,.2606243324279785,.9930000305175781,.0540131902694702,.3859388465881348,.4923520088195801,ROU,.3259700012207031,1,1,-.0201443423890407,-.0065664513131459,.0357540686264786,.0291876173133328,1,-.0065664513131459,.0291876173133328,0,0,.0309500122070313,2013,.0053486824035645,2012,1,1,1,1,1,1,1,0,.0542147641733963,0,.0266927480484515,0,.0542147641733963,0,.0029283123727121
Romania,ROU,2013,.5002800226211548,.002790000140667,.040019998550415,.3926200103759765,.2572055244445801,.985999984741211,.0521695375442505,.2062838077545166,.4997199773788452,ROU,.3616699981689453,1,1,-.0184235497461305,-.0066632452029485,.015520752948206,.0088575077452575,1,-.0066632452029485,.0088575077452575,0,0,.0121199798583985,2014,.0073679685592651,2013,1,1,1,1,1,1,1,0,.033884654605321,0,.016932838832861,0,.033884654605321,0,.0017677467606063
Romania,ROU,2014,.4932446777820587,.0411600017547607,.0107599997520447,.404739990234375,.2159435653686523,.9819999694824219,.0462514448165894,.1900084095001221,.5067553222179413,ROU,.3926200103759765,1,1,-.0189100391278617,-.0074244597585912,.0136877663934802,.006263306634889,1,-.0074244597585912,.006263306634889,0,0,-.0111999893188477,2015,.0070353448390961,2014,1,1,1,1,1,1,1,0,.0312904534949525,0,.0158566038431801,0,.0312904534949525,0,.0014472286831078
Romania,ROU,2015,.4864274561405182,.0315700006484985,-.0059600001573563,.3935400009155273,.2175703811645508,1,.039585554599762,.3646781425476074,.5135725438594818,ROU,.404739990234375,1,1,-.0216684607609568,-.0087700925967836,.0333596212500668,.0245895286532832,1,-.0087700925967836,.0245895286532832,0,0,.0019400024414063,2016,.0068172216415405,2015,1,1,1,1,1,1,1,0,.0496166755133467,0,.0254817622612399,0,.0496166755133467,0,.0019641036175923
Romania,ROU,2016,.480803519487381,.0285999989509583,-.0155499994754791,.3954800033569336,.2155720710754395,1.001999969482422,.0439009428024292,.1676785516738892,.519196480512619,ROU,.3935400009155273,1,1,-.0186146357422893,-.0073256037670627,.0111729075541044,.0038473037870417,1,-.0073256037670627,.0038473037870417,0,0,-.0244100189208984,2017,.0056239366531372,2016,1,1,1,1,1,1,1,0,.0288744506471052,0,.0149915131527123,0,.0288744506471052,0,.0012676156063101
Romania,ROU,2017,.4760205149650574,.0819499969482422,.0134399998188019,.3710699844360352,.2110354614257813,.98,.0406221151351929,.2053472633361816,.5239794850349426,ROU,.3954800033569336,1,1,-.0191938922419039,-.0075908005682608,.0154152763693918,.0078244758011311,1,-.0075908005682608,.0078244758011311,0,0,-.0068899917602539,2018,.0047830045223236,2017,1,1,1,1,1,1,1,0,.0328516226611946,0,.017213576324575,0,.0328516226611946,0,.001334502398121
Romania,ROU,2018,.4727712869644165,.0539499998092651,.0463100004196167,.3641799926757813,.1741064643859863,.9669999694824218,.0450416469573975,.3410609378814697,.5272287130355835,ROU,.3710699844360352,1,1,-.0205530931128425,-.0076266359414949,.0306997773595156,.0230731414180208,1,-.0076266359414949,.0230731414180208,0,0,.003489990234375,2019,.0032492280006409,2018,1,1,1,1,1,1,1,0,.0481002882780843,0,.0253598530854949,0,.0481002882780843,0,.0021665162031705
Romania,ROU,2019,.4702233076095581,.0396000003814697,.0382500004768372,.3676699829101562,.1679884910583496,.960999984741211,.0381803703308105,,.5297766923904419,ROU,.3641799926757813,0,0,,,,,0,,,,0,.1277000045776367,2020,.0025479793548584,2019,0,0,0,0,0,0,0,,,,,,,,
Romania,ROU,2020,.4672356247901917,-.0359800004959106,.0264599990844727,.495369987487793,.2079628372192383,.9690000152587891,.0459914302825928,,.5327643752098083,ROU,.3676699829101562,0,0,,,,,0,,,,0,.0226800155639649,2021,.0029876828193665,2020,0,0,0,0,0,0,0,,,,,,,,
Romania,ROU,2021,.4641265869140625,.0558699989318848,.050460000038147,.5180500030517579,.1818791961669922,.9540000152587891,.0482216024398804,,.5358734130859375,ROU,.495369987487793,0,0,,,,,0,,,,0,.0009700012207031,2022,.0031090378761292,2021,0,0,0,0,0,0,0,,,,,,,,
Romania,ROU,2022,.4636201858520508,.0418800020217895,.1380000019073486,.519020004272461,.188617115020752,.9480000305175781,.0649748754501343,,.5363798141479492,ROU,.5180500030517579,0,0,,,,,0,,,,0,.0069300079345703,2023,.0005064010620117,2022,0,0,0,0,0,0,0,,,,,,,,
Romania,ROU,2023,.4636201858520508,.0225799989700317,.1039700031280518,.5259500122070313,.2098722267150879,.9509999847412109,.0600466299057007,,.5363798141479492,ROU,.519020004272461,0,0,,,,,0,,,,0,,,0,2023,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,1995,.3663551509380341,-.0409999990463257,1.973000030517578,,.0536774110794067,,,.1778969376909187,.6336448490619659,RUS,,0,0,,,,,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,1996,.3642838895320892,-.0358100008964539,.4775199890136719,,.0393947386741638,,,.0799150270097006,.6357161104679108,RUS,,0,0,,,,,0,,,,,,,.0020712614059448,1996,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,1997,.3654336929321289,.0137600004673004,.1476099967956543,.5151900100708008,.0406362199783325,,,.1205160809225506,.6345663070678711,RUS,,0,0,,,,,0,,,,,.8367399215698242,1998,-.0011498034000397,1997,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,1998,.3674694299697876,-.0531899976730347,.2768600082397461,1.351929931640625,.0418635559082031,,.1324281597137451,.1158841038539129,.6325305700302124,RUS,.5151900100708008,0,0,,,,,0,,,,0,-.4281399536132813,1999,-.0020357370376587,1998,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,1999,.3682861924171448,.0634700012207031,.8574600219726563,.9237899780273438,.0587869834899902,,.1783387565612793,.0948452234643152,.6317138075828552,RUS,1.351929931640625,0,0,,,,,0,,,,0,-.365109977722168,2000,-.0008167624473572,1999,0,0,0,0,0,0,0,,,,,,,,
Russia,RUS,2000,.3688827455043793,.1005399990081787,.2079899978637695,.5586800003051757,.0993885898590088,.7220232391357422,.118460807800293,.0909001669764908,.6311172544956207,RUS,.9237899780273438,0,1,,,.002525884320378,,0,,,,0,-.1143000030517577,2001,-.0005965530872345,2000,0,0,0,1,0,1,0,,,,,,,,
Russia,RUS,2001,.3660262227058411,.0508199977874756,.2147699928283691,.444379997253418,.1105183792114258,.6933137512207032,.0716275835037231,.1161647222381012,.6339737772941589,RUS,.5586800003051757,0,1,,,.0053712580176487,,0,,,,0,-.0686100006103516,2002,.0028565227985382,2001,0,0,0,1,0,1,0,,,,,,,,
Russia,RUS,2002,.3658332824707031,.0474599981307983,.1578899955749512,.3757699966430664,.1305879497528076,.6739405822753907,.0555797147750854,.1738020711280162,.6341667175292969,RUS,.444379997253418,0,1,,,.0118625575799639,,0,,,,0,-.0924300003051758,2003,.0001929402351379,2002,0,0,0,1,0,1,0,,,,,,,,
Russia,RUS,2003,.3600398302078247,.0735599994659424,.1366300010681152,.2833399963378906,.1698944473266601,.728114013671875,.0425933027267456,.1212756514422644,.6399601697921753,RUS,.3757699966430664,0,1,,,.0059468669438916,,0,,,,0,-.0750600051879883,2004,.0057934522628784,2003,0,0,0,1,0,1,0,,,,,,,,
Russia,RUS,2004,.3580412268638611,.0714499998092651,.1088899993896484,.2082799911499023,.1993670463562012,.827844009399414,.0309914326667786,.0841043025225985,.6419587731361389,RUS,.2833399963378906,1,1,-.0148750755757956,-.0042147038591718,.0017605126854098,-.0024541911737619,1,-.0042147038591718,-.0024541911737619,0,0,-.0597699928283691,2005,.0019986033439636,2004,1,1,1,1,1,1,1,0,.0225729556863016,0,.0144909069384346,0,.0225729556863016,0,.0006995682362422
Russia,RUS,2005,.3603313267230988,.0639699983596802,.126850004196167,.1485099983215332,.2229036521911621,.9980000305175781,.0201052498817444,.14155310555416,.6396686732769012,RUS,.2082799911499023,1,1,-.0139502362014517,-.0029055550725774,.0082305776199814,.005325022547404,1,-.0029055550725774,.005325022547404,0,0,-.0504699993133545,2006,-.0022900998592377,2005,1,1,1,1,1,1,1,0,.0303521694074675,0,.0194153319359505,0,.0303521694074675,0,.0006102379503902
Russia,RUS,2006,.3592978715896606,.0816499996185303,.0966899967193603,.0980399990081787,.2863350868225097,1.135999984741211,.0139782321453094,.1037088716380736,.6407021284103394,RUS,.1485099983215332,1,1,-.0120281439941966,-.0017862996443893,.0039684409362689,.0021821412918796,1,-.0017862996443893,.0021821412918796,0,0,-.0177099990844727,2007,.0010334551334381,2006,1,1,1,1,1,1,1,0,.0272092881519431,0,.0174330488314802,0,.0272092881519431,0,.0003803377462965
