country_name,iso3,year,readiness100,debt_gdp,interest_revenue,wsdi_days,country_id,b_it,sample_spread,sample_tax,mA_hat,spread_saving_component,TA_hat,theta_hat_A,sample_theta_support,b_it_mA_hat,theta_recomputed_b_it,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,debt_ns_missing_count,ready_ns_missing_count,sample_debt_ns,sample_ready_ns,sample_criterion_theta,sample_criterion_debt,sample_criterion_ma,sample_criterion_ta,sample_criterion_bma,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Poland,POL,2012,.5193345260620117,.5447200012207031,.0680634927749634,.1521456514994304,POL,.5447200012207031,1,1,.02862556257793,.0155929164823933,-.0164524831921284,-.0008595667097351,1,.0155929164823933,-.0008595667097351,0,0,.0238700103759766,2013,.0103220748901367,2012,0,0,1,1,1,1,1,1,1,0,.0145169266010473,0,.0075391411962319,0,.0145169266010473,0,.0009880727288251
Poland,POL,2013,.538548469543457,.5685900115966797,.0652670478820801,.1097137317657471,POL,.5685900115966797,1,1,.030742699630202,.0174799919392498,-.0210987391238175,-.0036187471845677,1,.0174799919392498,-.0036187471845677,0,0,-.0572900009155273,2014,.0192139434814453,2013,0,0,1,1,1,1,1,1,1,0,.0117577461262147,0,.0063321161815534,0,.0117577461262147,0,.000767393379405
Poland,POL,2014,.5649582290649414,.5113000106811524,.0504356718063355,.2386753870646159,POL,.5113000106811524,0,0,,,,,0,,,,0,-.0007400131225587,2015,.0264097595214844,2014,2,2,0,0,0,0,0,0,0,,,,,,,,
Poland,POL,2015,.5713275146484375,.5105599975585937,.0450105381011963,.3268774274190267,POL,.5105599975585937,1,1,.0256757940151326,.013109033329681,.0026804845221871,.0157895178518682,1,.013109033329681,.0157895178518682,0,0,.0307300186157227,2016,.006369285583496,2015,0,0,1,1,1,1,1,1,1,0,.0311660111626506,0,.0178059996990626,0,.0311660111626506,0,.0014027989328988
Poland,POL,2016,.5571708679199219,.5412900161743164,.0440663051605225,.1680757484436035,POL,.5412900161743164,1,1,.0283282446654241,.0153337960131374,-.0147081523232026,.0006256436899348,1,.0153337960131374,.0006256436899348,0,0,-.0368500137329101,2017,-.0141566467285156,2016,0,0,1,1,1,1,1,1,1,0,.0160021370007172,0,.0089159245612631,0,.0160021370007172,0,.0007051550522941
Poland,POL,2017,.5531123733520508,.5044400024414063,.0393744492530823,.0965202490488688,POL,.5044400024414063,1,1,.0249636368409742,.0125926570290074,-.0225434132681333,-.0099507562391259,1,.0125926570290074,-.0099507562391259,0,0,-.0220999908447266,2018,-.0040584945678711,2017,0,0,1,1,1,1,1,1,1,0,.0054257370716565,0,.0030010423088882,0,.0054257370716565,0,.0002136354089885
Poland,POL,2018,.5538360977172851,.4823400115966797,.0349053835868835,.3600636062622071,POL,.4823400115966797,1,1,.023160919541013,.011171438200002,.0063143403851313,.0174857785851333,1,.011171438200002,.0174857785851333,0,0,-.0302300262451172,2019,.0007237243652344,2018,0,0,1,1,1,1,1,1,1,0,.0328622718959157,0,.0182003124289584,0,.0328622718959157,0,.0011470702060634
Poland,POL,2019,.542298812866211,.4521099853515625,.0333996891975403,,POL,.4521099853515625,0,0,,,,,0,,,,0,.113740005493164,2020,-.0115372848510742,2019,2,2,0,0,0,0,0,0,0,,,,,,,,
Poland,POL,2020,.5405447006225585,.5658499908447265,.031554229259491,,POL,.5658499908447265,0,0,,,,,0,,,,0,-.0357099914550781,2021,-.0017541122436524,2020,2,2,0,0,0,0,0,0,0,,,,,,,,
Poland,POL,2021,.5326996994018555,.5301399993896484,.0261147713661194,,POL,.5301399993896484,0,0,,,,,0,,,,0,-.0422700119018554,2022,-.0078450012207031,2021,2,2,0,0,0,0,0,0,0,,,,,,,,
Poland,POL,2022,.5324391174316406,.487869987487793,.0382908296585083,,POL,.487869987487793,0,0,,,,,0,,,,0,.0073400115966797,2023,-.0002605819702148,2022,2,2,0,0,0,0,0,0,0,,,,,,,,
Poland,POL,2023,.5364661407470703,.4952099990844727,.0497323751449585,,POL,.4952099990844727,0,0,,,,,0,,,,0,,,.0040270233154297,2023,3,2,0,0,0,0,0,0,0,,,,,,,,
Portugal,PRT,1995,.4458826446533203,.622150001525879,.1218157577514648,.1957584800720215,PRT,.622150001525879,0,0,,,,,0,,,,0,.010970001220703,1996,,,2,3,0,0,0,0,0,0,0,,,,,,,,
Portugal,PRT,1996,.4488371658325195,.633120002746582,.1085337924957275,.0628381290435791,PRT,.633120002746582,0,0,,,,,0,,,,0,-.0459600067138671,1997,.0029545211791992,1996,2,2,0,0,0,0,0,0,0,,,,,,,,
Portugal,PRT,1997,.4496427154541016,.5871599960327148,.0864168834686279,.2203656005859375,PRT,.5871599960327148,0,0,,,,,0,,,,0,-.0309999847412109,1998,.000805549621582,1997,2,2,0,0,0,0,0,0,0,,,,,,,,
Portugal,PRT,1998,.4541463470458985,.5561600112915039,.0708451843261719,.1835413017272949,PRT,.5561600112915039,0,0,,,,,0,,,,0,-.0021000289916993,1999,.0045036315917969,1998,2,2,0,0,0,0,0,0,0,,,,,,,,
Portugal,PRT,1999,.4553369140625,.5540599822998047,.0649278450012207,.0566570920944214,PRT,.5540599822998047,0,0,,,,,0,,,,0,-.0121299743652343,2000,.0011905670166015,1999,2,2,0,0,0,0,0,0,0,,,,,,,,
Portugal,PRT,2000,.4559088897705078,.5419300079345704,.0637258625030518,.0853565301895142,PRT,.5419300079345704,1,1,.028327738176772,.0153516513749065,-.0237658301489988,-.0084141787740923,1,.0153516513749065,-.0084141787740923,0,0,.031870002746582,2001,.0005719757080078,2000,0,0,1,1,1,1,1,1,1,0,.0069623145366901,0,.0031741810906554,0,.0069623145366901,0,.0004436794988681
Portugal,PRT,2001,.4632950592041016,.5738000106811524,.0633071994781494,.1186024417877197,PRT,.5738000106811524,1,1,.0312175389296469,.0179126241712707,-.0201254336046739,-.0022128094334032,1,.0179126241712707,-.0022128094334032,0,0,.0266399765014648,2002,.0073861694335938,2001,0,0,1,1,1,1,1,1,1,0,.0131636838773792,0,.0060986697013145,0,.0131636838773792,0,.0008333559610925
Portugal,PRT,2002,.4706330108642578,.6004399871826172,.0622884368896484,.143170488357544,PRT,.6004399871826172,1,1,.0336308471067287,.0201933054057047,-.0174352552478732,.0027580501578315,1,.0201933054057047,.0027580501578315,0,0,.0385300064086914,2003,.0073379516601562,2002,0,0,1,1,1,1,1,1,1,0,.0181345434686139,0,.0085347147932825,0,.0181345434686139,0,.0011295723663673
Portugal,PRT,2003,.4698686218261719,.6389699935913086,.0592542266845703,.2179027671813965,PRT,.6389699935913086,1,1,.0371487874754704,.0237369604951262,-.0092521398961929,.0144848205989333,1,.0237369604951262,.0144848205989333,0,0,.0320199966430664,2004,-.0007643890380859,2003,0,0,1,1,1,1,1,1,1,0,.0298613139097157,0,.0140308944126768,0,.0298613139097157,0,.0017694090635054
