criterion,variable,cutoff,rss,N,N_low,N_high
TA,TA_hat,-.0427032809470302,9.7914562,1373,418,955
TA,TA_hat,-.0426047227863037,9.7849598,1373,418,955
TA,TA_hat,-.0426001976445813,9.7846651,1373,419,954
TA,TA_hat,-.0425899801998467,9.7839823,1373,420,953
TA,TA_hat,-.04255123427178,9.7814627,1373,422,951
TA,TA_hat,-.0425404619470879,9.7807417,1373,423,950
TA,TA_hat,-.0424771960650373,9.7765808,1373,424,949
TA,TA_hat,-.0424548860639876,9.7751799,1373,424,949
TA,TA_hat,-.0424323847250215,9.7739763,1373,425,948
TA,TA_hat,-.0424268263585507,9.7736692,1373,426,947
TA,TA_hat,-.0423072497277099,9.766118,1373,427,946
TA,TA_hat,-.0422908903358595,9.7651701,1373,429,944
TA,TA_hat,-.0422704554463903,9.7639761,1373,429,944
TA,TA_hat,-.0420674172164251,9.7522449,1373,431,942
TA,TA_hat,-.0420467718552479,9.7517214,1373,431,942
TA,TA_hat,-.042024203548011,9.7511587,1373,433,940
TA,TA_hat,-.0419989565099449,9.7505531,1373,433,940
TA,TA_hat,-.0419916665353309,9.7503633,1373,434,939
TA,TA_hat,-.0419432771762787,9.7491159,1373,436,937
TA,TA_hat,-.0419162602624861,9.7484436,1373,436,937
TA,TA_hat,-.041812497710434,9.7458086,1373,437,936
TA,TA_hat,-.0418076377273579,9.7456589,1373,439,934
TA,TA_hat,-.0417322888558881,9.7433643,1373,439,934
TA,TA_hat,-.0416651675148224,9.7413969,1373,441,932
TA,TA_hat,-.0416435176295842,9.7407494,1373,442,931
TA,TA_hat,-.0416427331441271,9.7407246,1373,442,931
TA,TA_hat,-.0416053361483709,9.739563,1373,443,930
TA,TA_hat,-.0416048769373716,9.7395582,1373,444,929
TA,TA_hat,-.0415921051314533,9.7394152,1373,445,928
TA,TA_hat,-.0415487192589145,9.7389011,1373,446,927
TA,TA_hat,-.04150742853656,9.7383718,1373,447,926
TA,TA_hat,-.0414535956137868,9.737668,1373,449,924
TA,TA_hat,-.041415548069115,9.7372112,1373,449,924
