country_name,iso3,year,vulnerability100,readiness100,debt_gdp,b_it_theta,country_id,mA_hat,spread_saving_component,TA_hat,theta_hat_A,interest_revenue,bmA_hat,theta_recomputed_debt_gdp,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,debt_ns_missing_count,ready_ns_missing_count,sample_debt_ns,sample_ready_ns,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Denmark,DNK,2023,.3474351119995117,.7653203582763672,.3296400070190429,.3296400070190429,DNK,.0342865339485638,.0113022132914632,-.037834754633048,-.0265325413415848,-.0168804597854614,.0113022132914632,-.0265325413415848,0,0,,,,,1,1,0,0,,,,,,,,
Egypt,EGY,1995,.4476431655883789,.3470380401611328,,,EGY,,,-.0127035334076785,,,,,,,,,.3476050567626953,1996,5,2,0,0,,,,,,,,
Egypt,EGY,1996,.4489567947387695,.3476050567626953,,,EGY,,,-.0123740877832579,,,,,,,,,.3483146286010742,1997,5,2,0,0,,,,,,,,
Egypt,EGY,1997,.4491906356811524,.3483146286010742,,,EGY,,,-.0123154427118878,,,,,,,,,.3490351867675781,1998,5,2,0,0,,,,,,,,
Egypt,EGY,1998,.4453693771362305,.3490351867675781,.7382399749755859,.7382399749755859,EGY,.1211618623701565,.0894465302441397,-.0132737777998616,.0761727524442781,,.0894465302441397,.0761727524442781,0,0,-.0213700103759765,2000,.3485087585449219,1999,0,1,1,0,.0005088114706804,0,.0001775931066984,0,,,,
Egypt,EGY,1999,.4455828094482422,.3485087585449219,.7239800262451171,.7239800262451171,EGY,.1178429581848997,.0853159479595059,-.0132202510177547,.0720956969417512,.1582062244415283,.0853159479595059,.0720956969417512,0,0,.0674800109863282,2001,.3476829528808594,2000,0,0,1,1,.0045858669732073,0,.0015982148056846,0,.0045858669732073,0,.0007255126996222,0
Egypt,EGY,2000,.444984016418457,.3476829528808594,.7168699645996094,.7168699645996094,EGY,.1162438763119163,.0833317434966449,-.0133704225814244,.0699613209152204,.1669168472290039,.0833317434966449,.0699613209152204,0,0,.1408900451660157,2002,.3436898040771484,2001,0,0,1,1,.0067202429997381,0,.0023365139302259,0,.0067202429997381,0,.0011217217741291,0
Egypt,EGY,2001,.4443439865112305,.3436898040771484,.7914600372314453,.7914600372314453,EGY,.1335665483564303,.1057125853350559,-.0135309359594744,.0921816493755815,.1396685600280762,.1057125853350559,.0921816493755815,0,0,.1794899749755859,2003,.3420115661621094,2002,0,0,1,1,0,.015500085460623,0,.0053272213351406,0,.015500085460623,0,.0021648746165973
Egypt,EGY,2002,.4442493057250976,.3420115661621094,.8577600097656251,.8577600097656251,EGY,.1489264625007354,.1277431639289908,-.013554680994897,.1141884829340938,.1658387184143066,.1277431639289908,.1141884829340938,0,0,.1073600006103516,2004,.3335447692871094,2003,0,0,1,1,0,.0375069190191353,0,.0128278001156499,0,.0375069190191353,0,.0062200993818026
Egypt,EGY,2003,.4429884338378906,.3335447692871094,.9709500122070313,.9709500122070313,EGY,.1752364074612452,.1701457919636123,-.0138708956024,.1562748963612123,.1729495429992676,.1701457919636123,.1562748963612123,0,0,.0116799926757812,2005,.3322449493408203,2004,0,0,1,1,0,.0795933324462537,0,.0265479397075779,0,.0795933324462537,0,.0137656304723684
Egypt,EGY,2004,.4415317153930664,.3322449493408203,.9651200103759766,.9651200103759766,EGY,.174001541717125,.1679323697474676,-.0142362266530375,.1536961430944301,.1770405578613281,.1679323697474676,.1536961430944301,0,0,-.1058799743652344,2006,.3237167358398437,2005,0,0,1,1,0,.0770145791794716,0,.0255877049579881,0,.0770145791794716,0,.0136347040613891
Egypt,EGY,2005,.4383884048461914,.3237167358398437,.9826300048828125,.9826300048828125,EGY,.1783045870244104,.1752074372184242,-.0150245388685172,.160182898349907,.1858358383178711,.1752074372184242,.160182898349907,0,0,-.2199500274658203,2007,.2807262992858887,2006,0,0,1,1,0,.0835013344349485,0,.0270307794215527,0,.0835013344349485,0,.0155175404853796
Egypt,EGY,2006,.4319942855834961,.2807262992858887,.8592400360107422,.8592400360107422,EGY,.1502377411025344,.1290902820751142,-.0166281228118944,.1124621592632197,.1755315208435059,.1290902820751142,.1124621592632197,0,0,-.1916300201416016,2008,.2941190719604492,2007,0,0,1,1,0,.0357805953482612,0,.0100445541183633,0,.0357805953482612,0,.0062806223181664
Egypt,EGY,2007,.4337474822998047,.2941190719604492,.7626799774169922,.7626799774169922,EGY,.1277397179119313,.0974245251723247,-.0161884378469523,.0812360873253724,.1634549713134766,.0974245251723247,.0812360873253724,0,0,-.0681800079345704,2009,.3211395645141601,2008,0,0,1,1,0,.0045545234104139,0,.0013395721986931,0,.0045545234104139,0,.0007444594933958
Egypt,EGY,2008,.4314750671386719,.3211395645141601,.6676100158691406,.6676100158691406,EGY,.1059049020982267,.0707031733704169,-.0167583378308859,.053944835539531,.1378430080413818,.0707031733704169,.053944835539531,0,0,.0282899475097657,2010,.3333998870849609,2009,0,0,1,1,.0227367283754275,0,.0073016630489615,0,.0227367283754275,0,.0031340990322888,0
Egypt,EGY,2009,.4307448196411133,.3333998870849609,.6944999694824219,.6944999694824219,EGY,.1121892580060269,.0779154362614412,-.0169414769175477,.0609739593438936,.1138961696624756,.0779154362614412,.0609739593438936,0,0,.033800048828125,2011,.3360760116577148,2010,0,0,1,1,.015707604571065,0,.0052369135903683,0,.015707604571065,0,.0017890359952171,0
Egypt,EGY,2010,.4274607849121094,.3360760116577148,.6958999633789063,.6958999633789063,EGY,.112772991261226,.0784787204888169,-.0177650814117034,.0607136390771134,.1793316841125488,.0784787204888169,.0607136390771134,0,0,.0027200317382813,2012,.3241982650756836,2011,0,0,1,1,.0159679248378451,0,.0053664364939531,0,.0159679248378451,0,.0028635548529534,0
Egypt,EGY,2011,.4251920318603515,.3241982650756836,.7283000183105469,.7283000183105469,EGY,.1204548612993497,.0877272776899107,-.0183340629736384,.0693932147162723,.2312392616271973,.0877272776899107,.0693932147162723,0,0,.0698199462890624,2013,.324908561706543,2012,0,0,1,1,.0072883491986862,0,.0023628701654798,0,.0072883491986862,0,.0016853524871854,0
Egypt,EGY,2012,.4205450439453125,.324908561706543,.6986199951171875,.6986199951171875,EGY,.1139494210132753,.0796073439519007,-.0194994830885087,.060107860863392,.2429513168334961,.0796073439519007,.060107860863392,0,0,.1101200103759765,2014,.3184859848022461,2013,0,0,1,1,.0165737030515665,0,.0053849380206358,0,.0165737030515665,0,.0040266029811854,0
