country_name,iso3,year,bond_spreads,readiness100,growth,inflation_cpi,debt_gdp,reserves,tt,CurrentGDP,ConstantGDP,revenue,interest_revenue,wsdi_days,wsdi_merge,country_id,spread_lag,b_it,ln_constantgdp,ln_constantgdp_lag,T_it,T_lead,outcome_year,b_outcome_common,A_outcome_common,eligible_spread,sample_spread,eligible_tax,sample_tax,mA_hat_spread_ratio,mA_hat,spread_saving_component,TA_hat,theta_hat_A,theta_constructible,sample_theta_support,mA_hat_se,TA_hat_se
Turkey,TUR,2022,.1460985660552979,.4809844970703125,.0544099998474121,.7230000305175781,.294330005645752,.1392103004455566,.76,924.75201,2153.24,3935.106,.044477334022522,,Master only (1),TUR,.1552296257019043,.294330005645752,7.674728958980607,7.621745733137585,1.05441195809931,1.050451428403622,2023,-.0119200134277344,-.000965461730957,0,0,0,0,,,,,,0,0,,
Turkey,TUR,2023,.1307312870025635,.4806129074096679,.0504500007629395,.5385800170898437,.2824099922180176,.1221443557739258,.8669999694824219,1153.295,2261.874,7450.5122,.0614886713027954,,Master only (1),TUR,.1460985660552979,.2824099922180176,7.723948962568811,7.674728958980607,1.050451428403622,,,,-.0003715896606445,0,0,0,0,,,,,,0,0,,
Taiwan Province of China,TWN,1995,,,.0649900007247925,.0366599988937378,,,,279.05899,7572.687,1559.429,,,Master only (1),TWN,,,8.932303238762673,,,1.061765907661961,1996,,,0,0,0,0,,,,,,0,0,,
Taiwan Province of China,TWN,1996,,,.0617700004577637,.0307699990272522,,,,292.49399,8040.4209,1604.184,,,Master only (1),TWN,,,8.992236711354698,8.932303238762673,1.061765907661961,1.060514312996917,1997,,,0,0,0,0,,,,,,0,0,,
Taiwan Province of China,TWN,1997,,,.0605100011825562,.0090499997138977,.2498200035095215,,,303.284,8526.9814,1704.759,,,Master only (1),TWN,,.2498200035095215,9.050990702747246,8.992236711354698,1.060514312996917,1.042048053118152,1998,-.0129500007629395,,0,0,0,0,,,,,,0,0,,
Taiwan Province of China,TWN,1998,,,.0420499992370605,.0168400001525879,.236870002746582,,,279.96399,8885.5244,2053.458,,,Master only (1),TWN,,.236870002746582,9.092178761251331,9.050990702747246,1.042048053118152,1.067319816718225,1999,.0000300025939941,,0,0,0,0,,,,,,0,0,,
Taiwan Province of China,TWN,1999,.0022769199311733,,.0673199987411499,.0017499999701977,.2369000053405762,,,303.82999,9483.6963,2004.394,,,Master only (1),TWN,,.2369000053405762,9.157329423165837,9.092178761251331,1.067319816718225,1.063142698123476,2000,.025369987487793,,0,0,0,0,,,,,,0,0,,
Taiwan Province of China,TWN,2000,-.0039908999204636,,.0631400012969971,.0124800002574921,.2622699928283692,,,330.67999,10082.522,2784.863,,,Master only (1),TWN,.0022769199311733,.2622699928283692,9.218558754460142,9.157329423165837,1.063142698123476,.9859813106742281,2001,.0389900016784668,,0,0,0,0,,,,,,0,0,,
Taiwan Province of China,TWN,2001,-.0099450898170471,,-.0140199995040894,-.0000300000002608,.3012599945068359,,,299.276,9941.1787,1896.8409,,,Master only (1),TWN,-.0039908999204636,.3012599945068359,9.204440875209546,9.218558754460142,.9859813106742281,1.054836815027299,2002,-.0034700012207031,,0,0,0,0,,,,,,0,0,,
Taiwan Province of China,TWN,2002,-.0108917498588562,,.0548400020599365,-.00195999994874,.2977899932861328,,,307.439,10486.321,1787.9189,,,Master only (1),TWN,-.0099450898170471,.2977899932861328,9.257826952474504,9.204440875209546,1.054836815027299,1.042245417742403,2003,.0237100219726563,,0,0,0,0,,,,,,0,0,,
