country_name,iso3,year,readiness100,growth,inflation_cpi,debt_gdp,reserves,tt,interest_revenue,wsdi_days,country_id,b_it,sample_spread,sample_tax,mA_hat,spread_saving_component,TA_hat,theta_hat_A,sample_theta_support,b_it_mA_hat,theta_recomputed_b_it,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,sample_debt_ns,sample_ready_ns,sample_criterion_theta,sample_criterion_debt,sample_criterion_ma,sample_criterion_ta,sample_criterion_bma,debt_hinge_low_ns,debt_hinge_high_ns,debt_kink_low,debt_kink_high,ready_debt_hinge_low_ns,ready_debt_hinge_high_ns,ready_debt_kink_low,ready_debt_kink_high
Turkey,TUR,2012,.4240926742553711,.0480800008773804,.0889700031280518,.3081599998474121,.1350611591339111,.91,.0766792011260986,.3408910167578494,TUR,.3081599998474121,1,1,.0074813051679986,.0023054389994289,.0042149595824346,.0065203985818635,1,.0023054389994289,.0065203985818635,0,0,-.0126799964904785,2013,.0066424560546875,2012,1,1,1,1,1,1,1,0,.0390008970588946,0,.016539994732065,0,.0390008970588946,0,.0029905576296772
Turkey,TUR,2013,.4384267044067383,.0848799991607666,.0747700023651123,.2954800033569336,.1361659240722656,.9259999847412109,.0699378538131714,.1760776620922667,TUR,.2954800033569336,1,1,.0062251379383593,.0018394037789238,-.0138319501860306,-.0119925464071068,1,.0018394037789238,-.0119925464071068,0,0,-.0218099975585938,2014,.0143340301513671,2013,1,1,1,1,1,1,1,0,.0204879520699243,0,.0089824653060601,0,.0204879520699243,0,.0014328833967976
Turkey,TUR,2014,.4557336044311524,.0460099983215332,.0887800025939941,.2736700057983398,.1350757122039795,.9390000152587891,.0618618822097778,.1638554890950521,TUR,.2736700057983398,1,1,.0042549160921203,.001164442911602,-.0151702668151828,-.0140058239035807,1,.001164442911602,-.0140058239035807,0,0,-.0091200065612793,2015,.0173069000244141,2014,1,1,1,1,1,1,1,0,.0184746745734504,0,.0084195300340511,0,.0184746745734504,0,.0011428781423268
Turkey,TUR,2015,.4544841384887695,.0580600023269653,.0766099977493286,.2645499992370606,.1272622871398926,1,.0576290321350098,.3394823895078717,TUR,.2645499992370606,1,1,.003557931463763,.000941250766024,.0040607162025257,.0050019669685497,1,.000941250766024,.0050019669685497,0,0,.005629997253418,2016,-.0012494659423828,2015,1,1,1,1,1,1,1,0,.0374824654455808,0,.0170351860164699,0,.0374824654455808,0,.0021600782056628
Turkey,TUR,2016,.4352152633666992,.0332399988174438,.0777799987792969,.2701799964904785,.1204249477386475,1.04,.0433603477478027,.2700193867538915,TUR,.2701799964904785,1,1,.004015543525372,.0010849195355924,-.0035454182972626,-.0024604987616702,1,.0010849195355924,-.0024604987616702,0,0,-.0009099960327149,2017,-.0192688751220703,2016,1,1,1,1,1,1,1,0,.0300199997153609,0,.013065162082389,0,.0300199997153609,0,.001301677627047
Turkey,TUR,2017,.4507453155517578,.0782600021362305,.1116499996185303,.2692700004577637,.1246165943145752,.985999984741211,.043162407875061,.2685206557765152,TUR,.2692700004577637,1,1,.0039326442582964,.0010589431212317,-.0037095279519128,-.0026505848306811,1,.0010589431212317,-.0026505848306811,0,0,.0189900016784668,2018,.0155300521850585,2017,1,1,1,1,1,1,1,0,.0298299136463499,0,.0134456938394057,0,.0298299136463499,0,.0012875308996816
Turkey,TUR,2018,.4529528427124023,.0346799993515015,.1631399917602539,.2882600021362305,.115192813873291,.95,.0458930158615112,.2717721407341235,TUR,.2882600021362305,1,1,.0056429317015722,.0016266315043498,-.0033534933589483,-.0017268618545985,1,.0016266315043498,-.0017268618545985,0,0,.0236899948120117,2019,.0022075271606445,2018,1,1,1,1,1,1,1,0,.0307536366224326,0,.0139299471318751,0,.0307536366224326,0,.0014113771333125
Turkey,TUR,2019,.4685233306884766,.0130200004577637,.1518000030517578,.3119499969482422,.1362442493438721,.9469999694824218,.0592138004302978,,TUR,.3119499969482422,0,0,,,,,0,,,,0,.0710200119018554,2020,.0155704879760742,2019,0,0,0,0,0,0,0,,,,,,,,
Turkey,TUR,2020,.4784150695800781,.0180299997329712,.1227200031280518,.3829700088500976,.1281374931335449,.995999984741211,.0604556274414062,,TUR,.3829700088500976,0,0,,,,,0,,,,0,.0061299896240234,2021,.0098917388916016,2020,0,0,0,0,0,0,0,,,,,,,,
Turkey,TUR,2021,.4819499588012695,.1181099987030029,.1960799980163574,.3890999984741211,.134334306716919,.8859999847412109,.0642960834503174,,TUR,.3890999984741211,0,0,,,,,0,,,,0,-.0947699928283691,2022,.0035348892211914,2021,0,0,0,0,0,0,0,,,,,,,,
Turkey,TUR,2022,.4809844970703125,.0544099998474121,.7230000305175781,.294330005645752,.1392103004455566,.76,.044477334022522,,TUR,.294330005645752,0,0,,,,,0,,,,0,-.0119200134277344,2023,-.000965461730957,2022,0,0,0,0,0,0,0,,,,,,,,
Turkey,TUR,2023,.4806129074096679,.0504500007629395,.5385800170898437,.2824099922180176,.1221443557739258,.8669999694824219,.0614886713027954,,TUR,.2824099922180176,0,0,,,,,0,,,,0,,,-.0003715896606445,2023,0,0,0,0,0,0,0,,,,,,,,
Taiwan Province of China,TWN,1995,,.0649900007247925,.0366599988937378,,,,,,TWN,,0,0,,,,,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
Taiwan Province of China,TWN,1996,,.0617700004577637,.0307699990272522,,,,,,TWN,,0,0,,,,,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
Taiwan Province of China,TWN,1997,,.0605100011825562,.0090499997138977,.2498200035095215,,,,,TWN,.2498200035095215,0,0,,,,,0,,,,0,-.0129500007629395,1998,,,0,0,0,0,0,0,0,,,,,,,,
