country_name,iso3,year,vulnerability100,debt_gdp,b_it_theta,country_id,mA_hat,spread_saving_component,TA_hat,theta_hat_A,theta_recomputed_debt_gdp,theta_reconstruction_diff,b_it_mapping_diff,b_outcome,b_outcome_year,A_outcome,A_outcome_year,debt_missing_count,ready_missing_count,sample_debt,sample_ready,duplicate_key,debt_hinge_low,debt_hinge_high,debt_kink_low,debt_kink_high,ready_hinge_low,ready_hinge_high,ready_kink_low,ready_kink_high,ready_debt_hinge_low,ready_debt_hinge_high,ready_debt_kink_low,ready_debt_kink_high
Russia,RUS,2018,.3228499984741211,.1361999988555908,.1361999988555908,RUS,-.0210683988853855,-.0028695159040786,-.0437311971312364,-.0466007130353151,-.0466007130353151,0,0,.0012800025939942,2019,.5328293228149414,2018,0,0,1,1,0,.059627662937761,0,.0317713672641648,0,.0718648949983472,0,.0010149723211899,0,.059627662937761,0,.0008421417363855,0
Russia,RUS,2019,.3226577377319336,.137480001449585,.137480001449585,RUS,-.0208304206174796,-.0028637662566866,-.0437789376682248,-.0466427039249114,-.0466427039249114,0,0,.0541400051116943,2020,.5399998092651367,2019,0,0,1,1,0,.0596696538273574,0,.0322216016856897,0,.0719068858879435,0,.0005441079470548,0,.0596696538273574,0,.0004515107620718,0
Russia,RUS,2020,.3266536712646484,.1916200065612793,.1916200065612793,RUS,-.0104482412880579,-.0020020920641715,-.0427867017574964,-.0447887938216679,-.0447887938216679,0,0,-.0263300132751465,2021,.5295283508300781,2020,0,0,1,1,0,.0578157437241139,0,.0306150754262445,0,.0700529757847,0,.0002968346502326,0,.0578157437241139,0,.0002449819707735,0
Russia,RUS,2021,.3257976913452149,.1652899932861328,.1652899932861328,RUS,-.0154690532209488,-.0025568797030335,-.0429992513427112,-.0455561310457446,-.0455561310457446,0,0,-.0139499950408936,2022,.5151074981689453,2021,0,0,1,1,0,.0585830809481906,0,.0301765842622513,0,.0708203130087767,0,.0006543666239806,0,.0585830809481906,0,.0005412968578337,0
Russia,RUS,2022,.3234914779663086,.1513399982452392,.1513399982452392,RUS,-.0181774905890845,-.0027509813938549,-.0435719104506815,-.0463228918445364,-.0463228918445364,0,0,.0005599975585938,2023,.4948211288452148,2022,0,0,1,1,0,.0593498417469824,0,.0293675556900267,0,.0715870738075685,0,.0007538825283079,0,.0593498417469824,0,.0006250123991821,0
Russia,RUS,2023,.3237411499023438,.151899995803833,.151899995803833,RUS,-.0180646660986504,-.0027440227045826,-.043509914058898,-.0462539367634806,-.0462539367634806,0,0,,,.491439094543457,2023,1,0,0,1,0,,,,,.0715181187265127,0,.0005612077335467,0,.0592808866659266,0,.0004651813084687,0
Singapore,SGP,1995,.3947890853881836,.69822998046875,.69822998046875,SGP,.0875042366317643,.0610980814343297,-.0258679006482619,.0352301807860678,.0352301807860678,0,0,.0144900512695313,1996,.5620775604248047,1995,0,2,1,0,0,0,.0222032308836218,0,.0124799378486148,,,,,,,,
Singapore,SGP,1996,.3944869232177735,.7127200317382812,.7127200317382812,SGP,.0902471361034182,.0643209417079172,-.0259429309644295,.0383780107434877,.0383780107434877,0,0,-.0048500061035156,1997,.5748887634277344,1996,0,1,1,0,0,0,.0253510608410417,0,.0145740400184877,,,,,,,,
Singapore,SGP,1997,.3933993148803711,.7078700256347656,.7078700256347656,SGP,.0892980337975142,.0632114014733806,-.0262129965299208,.0369984049434598,.0369984049434598,0,0,.1385900115966797,1998,.5838109970092773,1997,0,1,1,0,0,0,.0239714550410138,0,.0139947990672573,,,,,,,,
Singapore,SGP,1998,.3929432678222656,.8464600372314454,.8464600372314454,SGP,.1155959912595224,.0978473870653412,-.0263262382203367,.0715211488450044,.0715211488450044,0,0,.0067399597167969,1999,.5861548233032227,1998,0,1,1,0,0,0,.0584941989425584,0,.0342866568454389,,,,,,,,
Singapore,SGP,1999,.3965696716308594,.8531999969482422,.8531999969482422,SGP,.1169701277009438,.0997989125974808,-.0254257607583795,.0743731518391013,.0743731518391013,0,0,-.0306400299072266,2000,.5995134735107421,1999,0,1,1,0,0,0,.0613462019366553,0,.0367778746097357,,,,,,,,
Singapore,SGP,2000,.3998944854736328,.8225599670410156,.8225599670410156,SGP,.1112401963422425,.0915017322369111,-.0246001715276584,.0669015607092527,.0669015607092527,0,0,.1221500396728515,2001,.6254761505126953,2000,0,1,1,0,0,0,.0538746108068067,0,.0336972841778111,,,,,,,,
Singapore,SGP,2001,.4034708404541016,.9447100067138672,.9447100067138672,SGP,.1345224177567405,.1270846741821359,-.0237121217610441,.1033725524210918,.1033725524210918,0,0,.0183899688720703,2002,.6283778762817382,2001,0,1,1,0,0,0,.0903456025186458,0,.0567711778420607,,,,,,,,
Singapore,SGP,2002,.4071836090087891,.9630999755859375,.9630999755859375,SGP,.1381104395823627,.1330141609899366,-.0227901989467571,.1102239620431795,.1102239620431795,0,0,.0282099914550781,2003,.6444806671142578,2002,0,1,1,0,0,0,.0971970121407335,0,.0626415952259725,,,,,,,,
Singapore,SGP,2003,.4057671737670898,.9913099670410156,.9913099670410156,SGP,.1434288501355208,.1421824487005739,-.0231419159862246,.1190405327143493,.1190405327143493,0,0,-.0343999481201172,2004,.6429927825927735,2003,0,1,1,0,0,0,.1060135828119033,0,.0681659686048551,,,,,,,,
Singapore,SGP,2004,.4046827697753906,.9569100189208984,.9569100189208984,SGP,.136870085467495,.1309723560744056,-.0234111858760994,.1075611701983062,.1075611701983062,0,0,-.0302799987792969,2005,.6542408752441407,2004,0,1,1,0,0,0,.0945342202958602,0,.061848151026886,,,,,,,,
