country_name,iso3,year,theta_hat_A,cutoff
Brazil,BRA,2011,.0232183814420281,-.0324804984770311
Brazil,BRA,2012,.0381244135128522,-.0324804984770311
Brazil,BRA,2013,.0172289367142881,-.0324804984770311
Brazil,BRA,2014,.0237613526206821,-.0324804984770311
Brazil,BRA,2015,.0791508057867153,-.0324804984770311
Brazil,BRA,2016,.0847699783249756,-.0324804984770311
Brazil,BRA,2017,.0529618574076566,-.0324804984770311
Brazil,BRA,2018,.0669104135998068,-.0324804984770311
Canada,CAN,2000,.0153118420622454,-.0324804984770311
Canada,CAN,2001,.0170161834385096,-.0324804984770311
Canada,CAN,2002,.0191378719197956,-.0324804984770311
Canada,CAN,2003,.0122125668029368,-.0324804984770311
Canada,CAN,2004,.0020229564673791,-.0324804984770311
Canada,CAN,2005,.0098449729892469,-.0324804984770311
Canada,CAN,2006,.0115989336887087,-.0324804984770311
Canada,CAN,2007,-.0006298725382967,-.0324804984770311
Canada,CAN,2008,.0016943713906965,-.0324804984770311
Canada,CAN,2009,.020416708232669,-.0324804984770311
Canada,CAN,2010,.0356261639270408,-.0324804984770311
Canada,CAN,2011,.0243650242729608,-.0324804984770311
Canada,CAN,2012,.0285472337690149,-.0324804984770311
Canada,CAN,2013,.0276751310729257,-.0324804984770311
Canada,CAN,2014,.0194048258356236,-.0324804984770311
Canada,CAN,2015,.034320054720119,-.0324804984770311
Canada,CAN,2016,.0359328442004446,-.0324804984770311
Canada,CAN,2017,.0329035713053959,-.0324804984770311
Canada,CAN,2018,.0272261907866276,-.0324804984770311
Switzerland,CHE,2005,.0040839548638985,-.0324804984770311
Switzerland,CHE,2006,.0055424665286062,-.0324804984770311
Switzerland,CHE,2007,.0119706454889063,-.0324804984770311
Switzerland,CHE,2008,-.0099033488945012,-.0324804984770311
Switzerland,CHE,2009,-.0068402273526,-.0324804984770311
Switzerland,CHE,2010,-.0188287314216907,-.0324804984770311
Switzerland,CHE,2011,.0044191357327304,-.0324804984770311
Switzerland,CHE,2012,-.0008548464061618,-.0324804984770311
Switzerland,CHE,2013,-.0151425301589371,-.0324804984770311
Switzerland,CHE,2014,-.0044872338350102,-.0324804984770311
Switzerland,CHE,2015,.0173254694392736,-.0324804984770311
Switzerland,CHE,2016,-.0058342562621485,-.0324804984770311
Switzerland,CHE,2017,.0014369591039649,-.0324804984770311
Switzerland,CHE,2018,.0125653994614701,-.0324804984770311
Chile,CHL,2008,-.0258764303554739,-.0324804984770311
Chile,CHL,2009,-.0299703137625751,-.0324804984770311
Chile,CHL,2010,-.0321196589891068,-.0324804984770311
Chile,CHL,2011,-.0324804984770311,-.0324804984770311
Chile,CHL,2012,-.0273241134778919,-.0324804984770311
Chile,CHL,2013,-.0230654481549282,-.0324804984770311
Chile,CHL,2014,-.0298708584858708,-.0324804984770311
Chile,CHL,2015,-.0287804914008953,-.0324804984770311
Chile,CHL,2016,-.0254661836593544,-.0324804984770311
Chile,CHL,2017,-.025688967510327,-.0324804984770311
Chile,CHL,2018,-.0314310679143379,-.0324804984770311
China,CHN,2003,-.0236013440507115,-.0324804984770311
China,CHN,2004,-.0217765588314567,-.0324804984770311
