country_name,iso3,year,bond_spreads,capacity,debt_gdp,interest_revenue,wsdi_days,wsdi_merge,adapt_capacity,country_id,duplicate_key,spread_lag,b_pre,T_it,T_lead,b_outcome_common,A_outcome_common,sample_layer2_a
Spain,ESP,1999,-.0089188897609711,.2692123055458069,.6085300064086914,.0799349164962769,.0531772613525391,Matched (3),.7307876944541931,ESP,0,-.0043931999802589,.6235499954223633,1.047452527573599,1.05052910218915,-.0301200103759766,.0027826130390167,0
Spain,ESP,2000,-.0049363899230957,.268897145986557,.5784099960327148,.0739423656463623,.0840199292789806,Matched (3),.731102854013443,ESP,0,-.0089188897609711,.6085300064086914,1.05052910218915,1.039192065162946,-.0378900146484374,.0003151595592499,1
Spain,ESP,2001,.0010531900078058,.267392635345459,.5405199813842774,.0655953645706177,.1275840564207597,Matched (3),.732607364654541,ESP,0,-.0049363899230957,.5784099960327148,1.039192065162946,1.027554536177519,-.0281499862670899,.001504510641098,1
Spain,ESP,2002,.0035663801431656,.2675326764583588,.5123699951171875,.0590691947937012,.1364577947963368,Matched (3),.7324673235416412,ESP,0,.0010531900078058,.5405199813842774,1.027554536177519,1.029392893436462,-.0354999923706055,-.0001400411128998,1
Spain,ESP,2003,.0012716899812222,.2628828883171082,.476870002746582,.0530015802383423,.2662140794233842,Matched (3),.7371171116828918,ESP,0,.0035663801431656,.5123699951171875,1.029392893436462,1.031145359241809,-.0235400009155273,.0046497881412506,1
Spain,ESP,2004,-.0017261600494385,.2640310525894165,.4533300018310547,.0452524948120117,.1315318558432839,Matched (3),.7359689474105835,ESP,0,.0012716899812222,.476870002746582,1.031145359241809,1.035512233947801,-.029379997253418,-.0011481642723083,1
Spain,ESP,2005,-.0090311801433563,.2686823904514313,.4239500045776367,.0374243950843811,.157436878897927,Matched (3),.7313176095485687,ESP,0,-.0017261600494385,.4533300018310547,1.035512233947801,1.0404343766414,-.0337599945068359,-.0046513378620148,1
Spain,ESP,2006,-.0099829697608948,.2675653994083405,.3901900100708008,.0309283447265625,.1510625071959062,Matched (3),.7324346005916595,ESP,0,-.0090311801433563,.4239500045776367,1.0404343766414,1.035334933483953,-.0332099914550781,.0011169910430908,1
Spain,ESP,2007,-.0032391399145126,.2672537863254547,.3569800186157226,.0260806035995483,.124823892550035,Matched (3),.7327462136745453,ESP,0,-.0099829697608948,.3901900100708008,1.035334933483953,1.007671694185528,.039109992980957,.0003116130828857,1
Spain,ESP,2008,.0074096900224686,.2714271545410156,.3960900115966797,.0281169271469116,.062859722700986,Matched (3),.7285728454589844,ESP,0,-.0032391399145126,.3569800186157226,1.007671694185528,.9623186377775845,.1346999740600586,-.0041733682155609,1
