country_name,iso3,year,bond_spreads,bond_10y,vulnerability100,vulnerability_delta100,readiness100,readiness_delta100,lnrgdp,growth,inflation_cpi,debt_gdp,PrimaryBalance_gdp,reserves,gee,rqe,tt,is_advanced,Revenue_gdp,CurrentGDP,ConstantGDP,capitaGDP,OverallBalance_gdp,revenue,debt,interest_revenue,taxgdp
Croatia,HRV,1996,,,38.85135865,-7.72749889487794,39.41999096,2.31562462237646,3.547373492,5.874,3.644,,-3.171,10.46868713109839847991313789,0.1022060215,-0.1714107096,,0,47.668,22.104,34.722,18962.736,-4.406,8.156,,2.5908366199546866,27.180893358024861
Croatia,HRV,1997,,,38.87414209,-7.49990003950795,39.88455366,2.4650348358206,3.611701389,6.645,3.709,,-3.143,11.48843875752857336772091761,,,,0,46.721,22.101,37.029,19877.892,-4.934,9.117,,3.8333939770124785,26.008320186075508
Croatia,HRV,1998,,,38.74006519,-7.53443794067162,40.24647666,2.67379573046776,3.630163946,1.862,6.709,23.329,-4.613,11.74643385642134245546702265,0.03803564236,-0.1453807503,,0,50.438,23.971,37.719,20567.393,-6.36,10.853,5.02,3.463658352829216,28.291467549877641
Croatia,HRV,1999,,,38.73919584,-7.52026924566082,41.49480873,3.89898853008954,3.6207612,-0.936,4.014,30.007,-9.212,12.82158304318912389268003221,,,,0,47.814,23.593,37.366,20137.857,-11.11,10.574,6.636,3.969548667754214,27.190432085846915
Croatia,HRV,2000,,,38.67393088,-7.38116371439661,43.16915707,5.2588690028695,3.657569369,3.749,4.605,35.434,-7.284,15.914879621203793181305035,0.3633943796,-0.1187016815,99.80511006,0,45.358,22.145,38.767,21717.898,-9.197,10.87,8.492,4.217558093390361,26.310911290995577
Croatia,HRV,2001,,,38.58180979,-7.19821531403722,44.70046719,6.36692564950899,3.688229243,3.113,4.265,36.588,-2.82,20.3885690556735737818623201,,,98.5880396,0,45.824,23.068,39.974,22815.921,-4.792,11.803,9.424,4.303421787709497,25.512137449039024
Croatia,HRV,2002,,,38.74555621,-6.72064216553468,45.65271882,6.83628748864697,3.744597943,5.799,2.533,36.453,-3.531,22.00863234939433037884737649,0.3285757005,0.2942810953,97.25682238,0,44.281,26.739,42.292,24127.742,-4.898,12.531,10.315,3.0871028206228406,26.157739062831297
Croatia,HRV,2003,,,38.52948252,-6.67941269208361,47.05900435,7.84665687177227,3.798809513,5.571,2.399,37.844,-3.695,23.24212002836878547105561862,0.3188011348,0.4662130475,96.74260268,0,44.613,35.24,44.648,25465.929,-5.028,13.902,11.793,2.987918319772264,25.691283976765828
Croatia,HRV,2004,,,38.49354119,-6.43668712966467,47.86628463,8.22514831364258,3.839667343,4.17,2.143,39.959,-4.697,20.94405937192448047444819093,0.4443008602,0.5319160223,97.45557018,0,42.914,41.817,46.51,26515.635,-6.094,14.433,13.44,3.2553479051125507,25.014698974282741
Croatia,HRV,2005,,,38.45632881,-6.26024731246558,46.65610429,6.68621819605504,3.882017303,4.326,2.996,40.901,-1.851,19.54106017787121128011546575,0.4556206465,0.4752495587,96.9,0,43.234,45.035,48.522,27630.598,-3.242,15.642,14.797,3.2173752139519824,25.010376185079746
Croatia,HRV,2006,,,38.31431686,-5.79053057400567,44.76560502,3.85444300938073,3.931453014,5.068,3.287,38.382,-0.752,23.16844306763552758954501452,0.5555404425,0.3651951253,98.5,0,42.611,49.584,50.981,29024.128,-2.001,16.826,15.156,2.931168008260778,25.830213951133057
Croatia,HRV,2007,,,38.36336305,-5.19920753865484,45.82912144,4.08355008842593,3.980727835,5.051,2.659,37.085,-1.023,23.06184162710818787418838013,0.4564469755,0.4113973677,100.5,0,44.097,59.295,53.556,30497.182,-2.269,19.077,16.043,2.825589042338481,26.078228210876649
Croatia,HRV,2008,2.49577,6.143297,38.43395201,-4.72274681724046,45.8341768,3.46408460580516,4.000253639,1.972,5.803,38.92,-0.913,18.92652260004761835205445436,0.5727438331,0.4139635563,99.1,0,43.974,68.461,54.612,31098.516,-2.334,20.471,18.119,3.231454950652658,25.898028308168129
Croatia,HRV,2009,3.186008,6.430772,38.26176616,-5.08268930258647,45.30875574,3.22756745103922,3.92970574,-6.812,2.221,47.922,-5.353,23.92654661330388266855150921,0.5854263902,0.4722756147,99.4,0,42.125,62.251,50.892,29013.84,-7.151,18.821,21.412,4.268249258160237,24.957209677058387
Croatia,HRV,2010,3.20885,6.400466,38.22463878,-5.1774304698586,46.65782783,4.66529071045488,3.916254042,-1.336,1.089,56.809,-4.46,23.94203835488327573355017958,0.5814344883,0.4894832969,100.2,0,41.722,59.028,50.212,28692.818,-6.451,18.562,25.274,4.772062700733426,24.615692708801582
