country_name,iso3,year,theta_hat_A,cutoff
Finland,FIN,2011,-.0016543297955196,.0593002794631694
Finland,FIN,2012,-.0131444540132566,.0593002794631694
Finland,FIN,2013,.0055120376093257,.0593002794631694
Finland,FIN,2014,.0221727880119571,.0593002794631694
Finland,FIN,2015,.0214408224729353,.0593002794631694
Finland,FIN,2016,.0129625601826778,.0593002794631694
Finland,FIN,2017,-.0028682673935093,.0593002794631694
Finland,FIN,2018,.0240822634769957,.0593002794631694
France,FRA,2000,-.0010862337633296,.0593002794631694
France,FRA,2001,-.0039202392372593,.0593002794631694
France,FRA,2002,.0037623780297703,.0593002794631694
France,FRA,2003,.0222921470849392,.0593002794631694
France,FRA,2004,.004006780100797,.0593002794631694
France,FRA,2005,.0137430051453177,.0593002794631694
France,FRA,2006,.0183192112864194,.0593002794631694
France,FRA,2007,.0196515926225503,.0593002794631694
France,FRA,2008,.0016090453663557,.0593002794631694
France,FRA,2009,.008961932358445,.0593002794631694
France,FRA,2010,.0121235341165691,.0593002794631694
France,FRA,2011,.0372766810687417,.0593002794631694
France,FRA,2012,.0316900940784401,.0593002794631694
France,FRA,2013,.0230882234484031,.0593002794631694
France,FRA,2014,.0382045364511937,.0593002794631694
France,FRA,2015,.0563290392240625,.0593002794631694
France,FRA,2016,.0366755339322573,.0593002794631694
France,FRA,2017,.0456318253811267,.0593002794631694
France,FRA,2018,.0564185319098179,.0593002794631694
United Kingdom,GBR,2000,-.0158837706202211,.0593002794631694
United Kingdom,GBR,2001,-.0211649362824556,.0593002794631694
United Kingdom,GBR,2002,-.0114058236203399,.0593002794631694
United Kingdom,GBR,2003,-.0061760789487324,.0593002794631694
United Kingdom,GBR,2004,-.0168481664765262,.0593002794631694
United Kingdom,GBR,2005,-.006571800269076,.0593002794631694
United Kingdom,GBR,2006,.0024255656167986,.0593002794631694
United Kingdom,GBR,2007,-.0010942068604831,.0593002794631694
United Kingdom,GBR,2008,-.009740456388333,.0593002794631694
United Kingdom,GBR,2009,-.0076998420199366,.0593002794631694
United Kingdom,GBR,2010,-.0062768099980359,.0593002794631694
United Kingdom,GBR,2011,.0192828765804475,.0593002794631694
United Kingdom,GBR,2012,.0196155023007206,.0593002794631694
United Kingdom,GBR,2013,.0143444126543441,.0593002794631694
United Kingdom,GBR,2014,.0249010013691745,.0593002794631694
United Kingdom,GBR,2015,.0321712818518737,.0593002794631694
United Kingdom,GBR,2016,.0225676273750946,.0593002794631694
United Kingdom,GBR,2017,.0200205538642641,.0593002794631694
United Kingdom,GBR,2018,.0403615663359675,.0593002794631694
Greece,GRC,2000,.0543416438464573,.0593002794631694
Greece,GRC,2001,.0533260724812621,.0593002794631694
Greece,GRC,2002,.0610688202051137,.0593002794631694
Greece,GRC,2003,.0710343730834569,.0593002794631694
Greece,GRC,2004,.0424411749534315,.0593002794631694
Greece,GRC,2005,.0419936476160558,.0593002794631694
Greece,GRC,2006,.0583535162408073,.0593002794631694
Greece,GRC,2007,.0762421099063695,.0593002794631694
Greece,GRC,2008,.0564291578747783,.0593002794631694
Greece,GRC,2009,.0545663476817655,.0593002794631694
Greece,GRC,2010,.0828905248127156,.0593002794631694
Greece,GRC,2011,.1233427008801434,.0593002794631694
Greece,GRC,2012,.1970772321915797,.0593002794631694
Greece,GRC,2013,.1536142190290037,.0593002794631694
Greece,GRC,2014,.1785260337094564,.0593002794631694
Greece,GRC,2015,.2066361458756034,.0593002794631694
Greece,GRC,2016,.1750722192181198,.0593002794631694
Greece,GRC,2017,.1945902937488137,.0593002794631694
Greece,GRC,2018,.1986998523065521,.0593002794631694
Croatia,HRV,2009,-.0057475124988821,.0593002794631694
Croatia,HRV,2010,-.0074234112433124,.0593002794631694
Croatia,HRV,2011,.0164989815692522,.0593002794631694
Croatia,HRV,2012,.0254737399127412,.0593002794631694
Croatia,HRV,2013,.0145277318853006,.0593002794631694
Croatia,HRV,2014,.0265593647466003,.0593002794631694
