specification,cutoff,rss,N,N_low,N_high
current_debt,-.0165109559893608,1.1423065662384,742,133,609
current_debt,-.0165004152804613,1.14230418205261,742,134,608
current_debt,-.0162500627338886,1.1422530412674,742,135,607
current_debt,-.0161630567163229,1.1422370672226,742,136,606
current_debt,-.0161031037569046,1.14222681522369,742,137,605
current_debt,-.0160956662148237,1.14222550392151,742,138,604
current_debt,-.0158933605998755,1.14218902587891,742,138,604
current_debt,-.0157658029347658,1.14216947555542,742,140,602
current_debt,-.0156611166894436,1.14215755462646,742,140,602
current_debt,-.0156432148069143,1.14215683937073,742,142,600
current_debt,-.0153764933347702,1.1421525478363,742,143,599
current_debt,-.0153675656765699,1.14215278625488,742,144,598
current_debt,-.0152601664885879,1.14215803146362,742,144,598
current_debt,-.0152273941785097,1.14215910434723,742,146,596
current_debt,-.0151425302028656,1.14215993881226,742,147,595
current_debt,-.0150795634835958,1.14216244220734,742,148,594
current_debt,-.015005917288363,1.14216661453247,742,148,594
current_debt,-.0149810966104269,1.14216792583466,742,150,592
current_debt,-.0148845063522458,1.14217340946198,742,151,591
current_debt,-.0148620726540685,1.14217579364777,742,151,591
current_debt,-.0146944373846054,1.14219188690186,742,153,589
current_debt,-.0146669642999768,1.1421947479248,742,154,588
current_debt,-.0145658012479544,1.14220833778381,742,154,588
current_debt,-.014477520249784,1.14221918582916,742,155,587
current_debt,-.0144589841365814,1.14222157001495,742,157,585
current_debt,-.0144157884642482,1.14222848415375,742,157,585
current_debt,-.0143374241888523,1.14224326610565,742,159,583
current_debt,-.0142548549920321,1.14225971698761,742,159,583
current_debt,-.014232886955142,1.14226341247559,742,161,581
current_debt,-.0142040522769094,1.1422678232193,742,161,581
current_debt,-.0140843503177166,1.14228308200836,742,162,580
current_debt,-.0140770617872477,1.14228367805481,742,163,579
current_debt,-.014061794616282,1.14228498935699,742,164,578
current_debt,-.0140058239921927,1.14229035377502,742,166,576
current_debt,-.0139974756166339,1.14229118824005,742,166,576
current_debt,-.0139863369986415,1.14229214191437,742,167,575
current_debt,-.0139783527702093,1.1422928571701,742,169,573
current_debt,-.0138932000845671,1.14229905605316,742,169,573
current_debt,-.0138534503057599,1.14230108261108,742,171,571
current_debt,-.0138522936031222,1.14230120182037,742,172,570
current_debt,-.0138469897210598,1.14230155944824,742,173,569
current_debt,-.0138200661167502,1.14230537414551,742,174,568
current_debt,-.0136980405077338,1.14232444763184,742,175,567
current_debt,-.0135558862239122,1.1423407793045,742,176,566
current_debt,-.013544587418437,1.14234280586243,742,177,565
current_debt,-.0134904347360134,1.14235305786133,742,178,564
current_debt,-.0134219629690051,1.14236283302307,742,179,563
current_debt,-.0134120145812631,1.1423636674881,742,179,563
current_debt,-.0134038385003805,1.14236450195313,742,181,561
current_debt,-.0133785884827375,1.14236640930176,742,182,560
current_debt,-.0132719231769443,1.14237201213837,742,182,560
current_debt,-.0132269905880094,1.14237380027771,742,183,559
current_debt,-.0131635768339038,1.14237916469574,742,184,558
current_debt,-.0130091747269034,1.14239013195038,742,186,556
current_debt,-.0129058938473463,1.14239430427551,742,187,555
current_debt,-.0129005592316389,1.14239430427551,742,188,554
current_debt,-.0127147166058421,1.14238250255585,742,189,553
current_debt,-.0127105191349983,1.14238226413727,742,190,552
current_debt,-.0125983012840152,1.14236831665039,742,190,552
current_debt,-.0125273689627647,1.14236974716187,742,192,550
current_debt,-.0124337496235967,1.14237284660339,742,192,550
current_debt,-.0122709469869733,1.14237296581268,742,193,549
current_debt,-.0122424075379968,1.14237451553345,742,194,548
current_debt,-.0121704936027527,1.14237952232361,742,195,547
