specification,replicate,status,failure_stage,failure_reason,cutoff,beta_L,beta_H,rss,N,countries,N_low,N_high
current_debt,29,success,,,-.0298203152594983,-869.542236328125,-.807611703872681,.990773737430573,720,50,1,719
current_debt,30,success,,,.111770910019062,1.27419292926788,-.603355526924133,1.19469726085663,765,48,641,124
lagged_debt,1,success,,,-.0038714628681046,5.04757690429688,-.811981618404388,.867835223674774,633,41,174,459
lagged_debt,2,success,,,.0194186177073573,-.630112051963806,-1.23058450222015,.909195840358734,780,51,141,639
lagged_debt,3,success,,,-.0280528859600646,42.3773422241211,-3.38798856735229,.971352338790894,817,56,2,815
lagged_debt,4,success,,,.0942294982699398,1.49750697612762,-.154665127396584,1.37192094326019,788,50,699,89
lagged_debt,5,success,,,.205183312966896,1.44801867008209,-.177823945879936,1.2672872543335,677,45,601,76
lagged_debt,6,success,,,-.0395245144103387,-2.78762650489807,-1.58830165863037,.828701972961426,629,48,535,94
lagged_debt,7,success,,,.0892024221814581,1.5988517999649,-.416012078523636,1.15608859062195,834,53,770,64
lagged_debt,8,success,,,.0336388571132034,5.45939207077026,-1.02062368392944,.932464003562927,782,51,110,672
lagged_debt,9,success,,,.0072138307414706,5.9899845123291,-7.08189821243286,.766085088253021,644,48,290,354
lagged_debt,10,success,,,-.0135547438392384,1.46272778511047,-3.72635865211487,.805096685886383,668,48,153,515
lagged_debt,11,success,,,.0252935058173974,2.14753365516663,-.602774500846863,.965992629528046,733,49,677,56
lagged_debt,12,success,,,.0461771432267752,4.14719247817993,-.696955978870392,1.25536012649536,750,52,722,28
lagged_debt,13,success,,,-.003771169913856,3.28433680534363,-1.59466886520386,1.13526153564453,758,49,704,54
lagged_debt,14,success,,,.103807699776189,2.02057027816772,-.676467180252075,1.24387001991272,821,54,748,73
lagged_debt,15,success,,,.101881749307194,1.90123772621155,-.452591985464096,1.44813442230225,812,52,755,57
lagged_debt,16,success,,,.0654868963004324,4.31136083602905,-1.2051043510437,1.01684772968292,740,54,676,64
lagged_debt,17,success,,,.0627560848105568,2.08445191383362,-.539582073688507,1.41043102741241,795,54,734,61
lagged_debt,18,success,,,.163695477494273,2.23909187316895,-.526994168758392,1.11922252178192,623,44,585,38
lagged_debt,19,success,,,.0465137725425237,3.6213493347168,-1.12917101383209,1.37261641025543,781,52,727,54
lagged_debt,20,success,,,.107142936750932,2.24935555458069,-.622061014175415,1.41459143161774,804,56,727,77
lagged_debt,21,success,,,-.0327821743927595,-1.13537168502808,-3.20252585411072,.977804660797119,839,56,134,705
lagged_debt,22,success,,,.0647270003156753,2.84187150001526,.380653709173203,.76968252658844,740,48,720,20
lagged_debt,23,success,,,-.0478224624939265,-2.88311338424683,1.41616320610046,1.07296204566956,674,50,471,203
lagged_debt,24,success,,,.108024571446887,1.8120676279068,-.499065190553665,1.53776252269745,810,56,753,57
lagged_debt,25,success,,,.028177517638215,2.69065260887146,-.802006006240845,1.30979430675507,784,53,722,62
lagged_debt,26,success,,,.0262117245719429,2.17459917068481,-.990829229354858,.979418158531189,772,53,447,325
lagged_debt,27,success,,,-.0792586048537693,-843.307067871094,-3.01886558532715,.992626905441284,743,49,2,741
lagged_debt,28,success,,,.0028460278038614,2.68199610710144,-1.04777836799622,.869645714759827,872,54,603,269
lagged_debt,29,success,,,-.0263191601533101,-14.0801162719727,-1.37015640735626,.949438095092773,719,50,3,716
lagged_debt,30,success,,,.146586386587736,1.71072018146515,-.455645859241486,1.11601209640503,762,48,694,68
