specification,cutoff,cutoff_z,rss,rss_index,rss_excess_pct,selected,N,N_low,N_high
current_debt,3.54866597126e-05,-0.05223934929817395,1.144211512066119,1.0009016120895962,0.09016120895961599,0,744,344,400
current_debt,6.77027913756e-05,-0.051620581331449,1.144222054543324,1.0009108341454125,0.09108341454124869,0,744,344,400
current_debt,8.19787135855e-05,-0.051346386916944264,1.144226619290172,1.0009148271680581,0.09148271680581299,0,744,345,399
current_debt,0.0003152684208833,-0.04686564418369096,1.144300298461088,1.0009792781897175,0.09792781897175473,0,744,347,397
current_debt,0.0003825378367945,-0.045573615701141844,1.1443220849921,1.000998336007072,0.09983360070719982,0,744,347,397
current_debt,0.0004154831740759,-0.044940842046752666,1.144332768014227,1.0010076810048771,0.10076810048771367,0,744,349,395
current_debt,0.0004591168633255,-0.04410277962944849,1.144346684391257,1.001019854387208,0.10198543872079746,0,744,349,395
current_debt,0.0004676722574756,-0.04393845810574215,1.144350123624096,1.0010228628639246,0.10228628639246118,0,744,351,393
current_debt,0.0006256436899348,-0.04090433647109321,1.144413932259691,1.001078679612453,0.1078679612452893,0,744,352,392
current_debt,0.0007192695600222,-0.039106085524243175,1.144449801980606,1.0011100567320768,0.11100567320767585,0,744,353,391
current_debt,0.0008714663546771,-0.036182876054037715,1.144508825032759,1.0011616872806488,0.11616872806488043,0,744,354,390
current_debt,0.0008770467033408,-0.036075695557248905,1.144510912654014,1.0011635134320707,0.1163513432070662,0,744,354,390
current_debt,0.0009810402876315,-0.034078314264637054,1.144548997854475,1.0011968285474457,0.11968285474457385,0,744,356,388
current_debt,0.0009901371373413,-0.03390359312625159,1.144552127710193,1.001199566395825,0.11995663958250802,0,744,357,387
current_debt,0.0012824632218371,-0.028288952026064056,1.144647416356731,1.0012829203552354,0.12829203552353619,0,744,358,386
current_debt,0.0014369591039649,-0.025321584501880844,1.144703799948071,1.0013322420294821,0.13322420294821224,0,744,358,386
current_debt,0.0014764005771029,-0.024564041032865715,1.144718606581564,1.0013451941656708,0.13451941656708044,0,744,359,385
current_debt,0.0015056260619077,-0.024002713745083795,1.144729818043576,1.0013550014174624,0.13550014174623648,0,744,360,384
current_debt,0.0016943713906965,-0.020377524832114136,1.144804223657613,1.0014200878968875,0.1420087896887523,0,744,362,382
current_debt,0.0017373283498189,-0.01955246021756323,1.144821973534313,1.0014356146417387,0.14356146417386917,0,744,363,381
current_debt,0.0020191292652316,-0.014139973663461869,1.144930181749762,1.0015302700233197,0.15302700233197353,0,744,363,381
current_debt,0.0020229564673791,-0.01406646545596426,1.144931651505674,1.0015315556956332,0.15315556956332355,0,744,365,379
current_debt,0.002108735542896,-0.012418926120690895,1.144963896925975,1.001559762450085,0.15597624500849339,0,744,366,378
current_debt,0.0022393501099258,-0.00991024162339879,1.145011753705386,1.0016016252762818,0.16016252762818262,0,744,366,378
current_debt,0.0023043799679768,-0.008661227822997575,1.145036119633096,1.0016229394267406,0.16229394267406327,0,744,368,376
current_debt,0.0023601865933311,-0.007589362570475015,1.14505676942393,1.0016410028780494,0.1641002878049358,0,744,368,376
current_debt,0.0024512914795405,-0.005839531591753187,1.145096153912585,1.0016754545487154,0.1675454548715427,0,744,369,375
current_debt,0.0026177739480735,-0.002641940408953734,1.145172701860835,1.0017424150398464,0.1742415039846401,0,744,370,374
current_debt,0.0027526028007548,-5.2313078702831326e-05,1.14523358386172,1.0017956717080325,0.17956717080325202,0,744,371,373
current_debt,0.0027580501578315,5.2313078702831326e-05,1.145236139220677,1.0017979070140686,0.1797907014068567,0,744,372,372
current_debt,0.002778401192865,0.0004431908135020497,1.145245568481299,1.0018061552811572,0.180615528115724,0,744,374,370
current_debt,0.0030400535357385,0.005468688284217916,1.145355175721274,1.001902034462612,0.19020344626119456,0,744,374,370
current_debt,0.0031183878019977,0.006973236849052732,1.145388622226924,1.0019312918691934,0.19312918691933856,0,744,376,368
current_debt,0.0033660571727817,0.011730166532080769,1.145490240966892,1.0020201830921707,0.20201830921706687,0,744,377,367
current_debt,0.0034437027461063,0.013221487527221683,1.145522892331697,1.002048744947497,0.2048744947497072,0,744,377,367
current_debt,0.0034466505130971,0.013278104622233469,1.145524083271536,1.002049786724819,0.2049786724819036,0,744,379,365
current_debt,0.0036887038633931,0.01792716866779776,1.145606074256661,1.002121508524786,0.21215085247860976,0,744,379,365
current_debt,0.0038137294232163,0.020328506365622605,1.145648779835784,1.002158865326862,0.21588653268620472,0,744,381,363
current_debt,0.0039824078738285,0.023568275280383338,1.14570801732891,1.0022106834581612,0.22106834581612222,0,744,381,363
current_debt,0.0040839548638985,0.025518665390218197,1.145742829369647,1.0022411353696532,0.22411353696532021,0,744,382,362
current_debt,0.0041120033748407,0.026057386806771752,1.145751973722174,1.0022491344127404,0.2249134412740439,0,744,383,361
current_debt,0.0042770693583076,0.029227771880736823,1.145806231369462,1.0022965964126118,0.22965964126118177,0,744,384,360
current_debt,0.0043233666625603,0.030116993749984115,1.145821955022618,1.002310350713828,0.23103507138280133,0,744,386,358
current_debt,0.0043441891127772,0.03051692584976939,1.145828764407368,1.0023163072385628,0.2316307238562798,0,744,387,357
current_debt,0.0043887947852998,0.03137365693033259,1.145844172569072,1.0023297855629167,0.2329785562916742,0,744,388,356
current_debt,0.0044191357327304,0.03195640865690636,1.145854626316858,1.0023389300024728,0.2338930002472761,0,744,388,356
current_debt,0.0044751916136071,0.03303306130396789,1.145873533852543,1.002355469412143,0.23554694121430408,0,744,390,354
current_debt,0.0045881058012661,0.03520177861127892,1.145910314240787,1.0023876431400758,0.23876431400757792,0,744,391,353
current_debt,0.0047540156661596,0.0383883719252635,1.145964477865656,1.0024350228936234,0.24350228936234064,0,744,392,352
current_debt,0.0047895436999048,0.03907075084748218,1.145976326588782,1.002445387591018,0.2445387591017978,0,744,393,351
current_debt,0.0049525336649502,0.04220126230437265,1.146029923808151,1.0024922718800715,0.2492271880071506,0,744,394,350
current_debt,0.0050019669685497,0.04315071660499215,1.146045579865001,1.0025059670512657,0.2505967051265712,0,744,395,349
current_debt,0.0050328210291047,0.043743323579489735,1.146055323925759,1.0025144906904864,0.25144906904863706,0,744,395,349
current_debt,0.005095668776229,0.044950426068023755,1.146075827392931,1.0025324261448403,0.2532426144840283,0,744,396,348
current_debt,0.0053040312815561,0.0489523976613743,1.146141357538968,1.0025897487885276,0.25897487885275794,0,744,398,346
current_debt,0.0055424665286062,0.05353196961483127,1.146215972987191,1.0026550188208823,0.265501882088226,0,744,399,345
current_debt,0.0057869361061901,0.05822744159235085,1.146290709093735,1.0027203943993765,0.27203943993765467,0,744,400,344
current_debt,0.0061185389078771,0.0645964617312838,1.146388925413537,1.0028063093476065,0.2806309347606506,0,744,400,344
current_debt,0.0061197311767875,0.06461936137104177,1.146389273666763,1.0028066139829046,0.28066139829046044,0,744,401,343
current_debt,0.0064432795051797,0.0708336810600325,1.14647877139516,1.0028849023235535,0.288490232355354,0,744,402,342
current_debt,0.0064479792493048,0.07092394798428138,1.14648005385498,1.0028860241581863,0.28860241581862844,0,744,404,340
current_debt,0.0065023359547243,0.07196796495199571,1.146495093878214,1.0028991804525793,0.28991804525793086,0,744,404,340
current_debt,0.0065114981464779,0.07214394110026277,1.146497674514407,1.002901437869935,0.29014378699350196,0,744,405,339
current_debt,0.0065203985818635,0.072314889753072,1.146500056046943,1.0029035211209154,0.2903521120915409,0,744,407,337
current_debt,0.0066134890090214,0.07410285656847354,1.146524176079184,1.0029246201737558,0.2924620173755832,0,744,407,337
current_debt,0.0066273358319707,0.07436880937036686,1.14652765581939,1.0029276640843836,0.29276640843836077,0,744,409,335
current_debt,0.0068166215049657,0.07800437655249991,1.146574718234122,1.002968832038278,0.2968832038277913,0,744,409,335
current_debt,0.0068214538012651,0.07809718937643143,1.146575859892167,1.002969830706239,0.29698307062389073,0,744,411,333
current_debt,0.0068453637957489,0.07855642324181003,1.14658157790104,1.0029748325474532,0.2974832547453232,0,744,411,333
current_debt,0.0072101520075311,0.08556282805946044,1.146665607582263,1.00304833770145,0.3048337701450077,0,744,412,332
current_debt,0.0072570143480304,0.08646290245231583,1.146677062513688,1.0030583579286623,0.305835792866227,0,744,413,331
current_debt,0.0073929547006951,0.08907387811178075,1.146710715060596,1.003087795570301,0.3087795570301033,0,744,414,330
current_debt,0.0075976349813276,0.09300512604683685,1.14675949326569,1.003130464415701,0.3130464415701084,0,744,416,328
current_debt,0.0077150685698305,0.09526064646571472,1.146788016218623,1.0031554149333906,0.31554149333905546,0,744,416,328
current_debt,0.0077212360469764,0.09537910380669255,1.146789437726661,1.0031566584007667,0.3156658400766732,0,744,418,326
current_debt,0.0077626110530265,0.09617378420577524,1.146798997070569,1.0031650204585045,0.31650204585045305,0,744,419,325
current_debt,0.0078546069194854,0.09794072804097351,1.146819930159542,1.0031833317255021,0.31833317255021143,0,744,420,324
current_debt,0.007906295439882,0.09893349778140631,1.146831764189516,1.0031936835700288,0.31936835700288047,0,744,420,324
current_debt,0.0081718041353322,0.10403306334533151,1.146893322982043,1.003247532263237,0.32475322632370407,0,744,421,323
current_debt,0.0082294858456871,0.10514094293208248,1.14690664378994,1.0032591846701195,0.32591846701195415,0,744,423,321
current_debt,0.008493427206154,0.11021040504687422,1.146967566461305,1.0033124769149004,0.3312476914900442,0,744,423,321
current_debt,0.0085562956658424,0.11141790535695022,1.14698203200116,1.0033251306786564,0.3325130678656363,0,744,425,319
current_debt,0.0085708415248616,0.11169728438680172,1.146985367612702,1.0033280485124088,0.33280485124087544,0,744,426,318
current_debt,0.0087930966943695,0.11596608924422844,1.147035969195216,1.0033723123613374,0.3372312361337393,0,744,426,318
current_debt,0.0089560323142409,0.11909555690563257,1.147072757911203,1.003404493373982,0.3404493373982076,0,744,427,317
current_debt,0.0091323684989318,0.12248240618979221,1.147112659613379,1.0034393974783473,0.3439397478347317,0,744,429,315
current_debt,0.0091620581167435,0.12305264797544038,1.147119306380715,1.0034452117531312,0.3445211753131172,0,744,429,315
current_debt,0.0091675475014802,0.12315808134862218,1.147120530483964,1.003446282540221,0.34462825402210573,0,744,431,313
current_debt,0.0091844136922898,0.12348202646726093,1.14712427772651,1.0034495604491265,0.34495604491264764,0,744,431,313
current_debt,0.0092143910569193,0.12405779494106782,1.147131043499263,1.0034554788241683,0.3455478824168301,0,744,432,312
current_debt,0.0092991891005509,0.12568649181842884,1.147148376617557,1.0034706410086596,0.34706410086595696,0,744,433,311
current_debt,0.0094386137710808,0.12836438998440153,1.147176803920119,1.0034955078559702,0.34955078559701924,0,744,434,310
current_debt,0.0097214436096766,0.13379663883375867,1.14723622823638,1.0035474894112297,0.35474894112297317,0,744,436,308
current_debt,0.0098336885779696,0.1359525025958109,1.147258256284823,1.003566758496504,0.3566758496504008,0,744,437,307
current_debt,0.0098449729892469,0.13616923973529071,1.147260417698565,1.0035686491980709,0.35686491980708723,0,744,437,307
current_debt,0.0099067781317593,0.13735631715245517,1.147272359158722,1.0035790950173935,0.35790950173935077,0,744,438,306
current_debt,0.0100810948509389,0.14070437901851723,1.14730467235313,1.0036073610573988,0.36073610573987835,0,744,439,305
current_debt,0.0102622592753803,0.14418396321338958,1.147338448518249,1.0036369068343478,0.36369068343478084,0,744,440,304
current_debt,0.0103519142564306,0.14590594619109673,1.14735487395478,1.003651275022161,0.36512750221608936,0,744,441,303
current_debt,0.0103757430774823,0.14636362097669328,1.147359214996137,1.0036550723579212,0.3655072357921174,0,744,443,301
current_debt,0.0104425682074158,0.14764711615878467,1.147370771359121,1.0036651813126194,0.3665181312619392,0,744,444,300
current_debt,0.010501885230244,0.14878640482297079,1.147381323654988,1.0036744119573324,0.3674411957332424,0,744,444,300
current_debt,0.0110233637993432,0.1588023259542697,1.147474813448731,1.0037561923661855,0.3756192366185518,0,744,445,299
current_debt,0.0110540601897151,0.15939190459316102,1.14748032459722,1.0037610132558106,0.37610132558105747,0,744,446,298
current_debt,0.0111444104063966,0.16112724080465843,1.147496277098915,1.0037749677428043,0.37749677428042805,0,744,448,296
current_debt,0.0111467854052627,0.16117285687162516,1.147496684854567,1.0037753244279846,0.3775324427984561,0,744,449,295
current_debt,0.0111481694967141,0.16119944080361626,1.147496917053955,1.0037755275449254,0.37755275449253833,0,744,450,294
current_debt,0.0113305232600256,0.16470186836162412,1.147527233554049,1.0038020469720565,0.380204697205655,0,744,451,293
current_debt,0.0115989336887087,0.16985716686056712,1.147570649146904,1.003840024860253,0.3840024860253033,0,744,451,293
current_debt,0.0119024688123786,0.17568709744526664,1.147618508337006,1.0038818897952073,0.3881889795207316,0,744,452,292
current_debt,0.0119706454889063,0.17699655147762522,1.147629195832598,1.003891238706186,0.38912387061860176,0,744,453,291
current_debt,0.0122091066055946,0.18157662030338198,1.147665811379432,1.0039232682387218,0.39232682387218,0,744,454,290
current_debt,0.0122125668029368,0.18164307953245068,1.147666332110396,1.0039237237493122,0.3923723749312158,0,744,455,289
current_debt,0.0122215199612957,0.18181504082350372,1.147667629141826,1.0039248583304936,0.3924858330493608,0,744,456,288
current_debt,0.012223138134679,0.18184612071430706,1.147667859485183,1.003925059823867,0.39250598238669276,0,744,458,286
current_debt,0.0122743295137844,0.18282934197421002,1.147675181996979,1.0039314652076479,0.3931465207647866,0,744,458,286
current_debt,0.012365601922044,0.18458239051112504,1.147689036655262,1.003943584601365,0.39435846013649023,0,744,459,285
current_debt,0.0123853956604608,0.18496256437564007,1.147691880879591,1.0039460725930396,0.39460725930395846,0,744,460,284
current_debt,0.0125642675133354,0.1883981156660719,1.147717853647357,1.0039687923304772,0.39687923304772,0,744,462,282
current_debt,0.0125653994614701,0.1884198567383109,1.147718012364118,1.0039689311683235,0.39689311683235307,0,744,463,281
current_debt,0.0127020254907558,0.19104400203381547,1.147738143493835,1.0039865409196453,0.3986540919645343,0,744,464,280
current_debt,0.0127924944330104,0.19278161858058815,1.147751700410417,1.003998399863135,0.3998399863134994,0,744,464,280
current_debt,0.0128839426062213,0.19453804299523647,1.147765207779606,1.0040102154649304,0.4010215464930411,0,744,466,278
current_debt,0.0131695999469215,0.20002459903908715,1.147807914255322,1.0040475730513032,0.40475730513032104,0,744,467,277
current_debt,0.0134254332593785,0.20493833170648043,1.147845261567083,1.004080242696867,0.4080242696866909,0,744,468,276
current_debt,0.0135519070345285,0.20736748494909255,1.147863549060893,1.0040962397235025,0.40962397235024817,0,744,468,276
current_debt,0.0136055064703136,0.20839695720992396,1.147871275818154,1.0041029987219194,0.41029987219194375,0,744,469,275
current_debt,0.0136659184935256,0.20955727729923995,1.147879957109839,1.0041105927014862,0.4110592701486171,0,744,470,274
current_debt,0.0137076036018469,0.21035791376262714,1.147885824059434,1.0041157248289345,0.41157248289345194,0,744,471,273
current_debt,0.0138890360403345,0.2138426456427696,1.14790996616235,1.0041368431881477,0.4136843188147665,0,744,473,271
current_debt,0.0143540286480731,0.2227736536682612,1.147973026269936,1.0041920051601045,0.41920051601045394,0,744,473,271
current_debt,0.0144685844976478,0.22497390200531386,1.147989600186071,1.0042065032307876,0.42065032307876393,0,744,475,269
current_debt,0.0144848205989333,0.22528574513673202,1.147991877558778,1.004208495367722,0.4208495367721943,0,744,476,268
current_debt,0.0145020679228774,0.22561701059342854,1.147994248556194,1.0042105694030823,0.4210569403082287,0,744,476,268
current_debt,0.0145279170424355,0.22611348879627144,1.14799771786155,1.0042136041858012,0.42136041858011897,0,744,478,266
current_debt,0.0146164017026554,0.2278129936860375,1.148010415395216,1.0042247113821385,0.4224711382138535,0,744,479,265
current_debt,0.0151640044329705,0.23833067568319855,1.14808931318556,1.0042937274029642,0.4293727402964187,0,744,479,265
current_debt,0.0152458808612701,0.23990325775455354,1.148100990834017,1.0043039424524045,0.4303942452404508,0,744,480,264
current_debt,0.0153118420622454,0.24117015964821253,1.148110124371449,1.004311932034963,0.431193203496294,0,744,481,263
current_debt,0.0153444675664954,0.2417967903417832,1.148114806339801,1.0043160275973846,0.43160275973845863,0,744,483,261
current_debt,0.0155425397896367,0.24560111880864857,1.148143643149479,1.0043412526619724,0.43412526619723835,0,744,484,260
current_debt,0.015682388079103,0.24828715332788318,1.148163961290899,1.004359026002205,0.43590260022050575,0,744,485,259
current_debt,0.0157895178518682,0.25034477068440025,1.148179757821999,1.0043728440535677,0.4372844053567748,0,744,486,258
current_debt,0.0159305529015971,0.2530535990400383,1.148201139889249,1.00439154806533,0.4391548065330042,0,744,486,258
current_debt,0.0160294359491902,0.25495282340821473,1.148217149674891,1.0044055526615863,0.4405552661586265,0,744,487,257
current_debt,0.016073517856849,0.25579949465530055,1.148224971218312,1.0044123945744114,0.4412394574411449,0,744,489,255
current_debt,0.0160813152917323,0.25594925822651016,1.14822636934307,1.0044136175872107,0.44136175872107053,0,744,490,254
current_debt,0.0160825551335115,0.25597307158761756,1.148226584941725,1.0044138061826224,0.44138061826224373,0,744,491,253
current_debt,0.0162682020225502,0.2595387494679082,1.14825971839313,1.004442789744294,0.4442789744294018,0,744,491,253
current_debt,0.016355345347256,0.261212491629317,1.14827523306183,1.0044563612358839,0.4456361235883888,0,744,493,251
current_debt,0.0164527447291664,0.2630832195657248,1.148292083639003,1.0044711013164365,0.44711013164364655,0,744,494,250
current_debt,0.0165629595197632,0.26520009016316287,1.148311054528806,1.0044876961452651,0.4487696145265119,0,744,494,250
current_debt,0.0166011945873011,0.2659344624722129,1.148320301733321,1.0044957851583618,0.4495785158361798,0,744,496,248
current_debt,0.0170161834385096,0.27390505963645034,1.148415567208152,1.004579118848269,0.45791188482688927,0,744,497,247
current_debt,0.0170470943803769,0.27449875911746996,1.148422412869383,1.004585107105938,0.4585107105937958,0,744,498,246
current_debt,0.0172289367142881,0.2779913637664626,1.14846206968722,1.0046197969971729,0.46197969971728536,0,744,498,246
current_debt,0.017232980524809,0.2780690323220798,1.148462945410478,1.0046205630380765,0.4620563038076453,0,744,500,244
current_debt,0.0172905759870949,0.27917525536164356,1.148475364218763,1.0046314264187555,0.4631426418755469,0,744,500,244
current_debt,0.0173254694392736,0.2798454460189975,1.148482765107424,1.0046379003628765,0.4637900362876479,0,744,501,243
current_debt,0.0173881773374052,0.2810498624595055,1.148496030938931,1.0046495046790374,0.4649504679037353,0,744,502,242
current_debt,0.0174857785851333,0.2829244675870942,1.148516378016144,1.0046673033309204,0.4667303330920358,0,744,504,240
current_debt,0.0178661072943318,0.2902293552297085,1.148592749756025,1.0047341096833815,0.47341096833815044,0,744,504,240
current_debt,0.0180984593545861,0.29469208878791,1.148637439641042,1.004773202261533,0.4773202261532994,0,744,506,238
current_debt,0.0182588772897561,0.2977731998477259,1.148667443696876,1.0047994483773401,0.4799448377340143,0,744,507,237
current_debt,0.0186862688736447,0.3059820134981193,1.148747798733052,1.0048697391272583,0.4869739127258299,0,744,507,237
current_debt,0.0187720844002836,0.3076302529418626,1.148763708605169,1.0048836563239323,0.4883656323932284,0,744,509,235
current_debt,0.0189530735613466,0.3111064708925989,1.148796216404678,1.0049120925951907,0.49120925951906536,0,744,509,235
current_debt,0.0191378719197956,0.31465585123744416,1.148828100460065,1.0049399832448653,0.49399832448653314,0,744,511,233
current_debt,0.0192904156521206,0.3175857242611436,1.148853376932351,1.0049620938962547,0.49620938962546823,0,744,511,233
current_debt,0.0193150736433656,0.31805932473142334,1.148857384103325,1.0049655991781414,0.4965599178141433,0,744,513,231
current_debt,0.0194048258356236,0.31978317482284735,1.148871820840191,1.0049782277464174,0.49782277464174296,0,744,514,230
current_debt,0.0194535109625488,0.3207182590630155,1.148879589897725,1.0049850237470943,0.4985023747094308,0,744,515,229
current_debt,0.0195322117202624,0.3222298467464643,1.148891934528242,1.0049958222406024,0.49958222406023545,0,744,515,229
current_debt,0.0196317042614622,0.3241407775207262,1.148907196618531,1.005009172788655,0.5009172788654981,0,744,517,227
current_debt,0.0196408259461647,0.3243159756592089,1.148908563478797,1.005010368452769,0.5010368452768921,0,744,518,226
current_debt,0.0197226983452598,0.3258884803425428,1.148920599488013,1.005020896979095,0.5020896979095024,0,744,519,225
